Symbol,Company Name,Sector,Industry
AGROPHOS,Agro Phos India Limited,Basic Materials,Agricultural Inputs
ARIES,Aries Agro Limited,Basic Materials,Agricultural Inputs
ASTEC,Astec LifeSciences Limited,Basic Materials,Agricultural Inputs
BAYERCROP,Bayer Cropscience Limited,Basic Materials,Agricultural Inputs
BESTAGRO,Best Agrolife Limited,Basic Materials,Agricultural Inputs
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,Basic Materials,Agricultural Inputs
BHARATRAS,Bharat Rasayan Limited,Basic Materials,Agricultural Inputs
BOHRAIND,Bohra Industries Limited,Basic Materials,Agricultural Inputs
BSHSL,Bombay Super Hybrid Seeds Limited,Basic Materials,Agricultural Inputs
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,Basic Materials,Agricultural Inputs
COROMANDEL,Coromandel International Limited,Basic Materials,Agricultural Inputs
DHANUKA,Dhanuka Agritech Limited,Basic Materials,Agricultural Inputs
DHARMAJ,Dharmaj Crop Guard Limited,Basic Materials,Agricultural Inputs
EIDPARRY,EID Parry India Limited,Basic Materials,Agricultural Inputs
EQUIPPP,Equippp Social Impact Technologies Limited,Basic Materials,Agricultural Inputs
FACT,Fertilizers and Chemicals Travancore Limited,Basic Materials,Agricultural Inputs
GSFC,Gujarat State Fertilizers & Chemicals Limited,Basic Materials,Agricultural Inputs
HERANBA,Heranba Industries Limited,Basic Materials,Agricultural Inputs
IPL,India Pesticides Limited,Basic Materials,Agricultural Inputs
INDOUS,Indo Us Biotech Limited,Basic Materials,Agricultural Inputs
IGCL,Indogulf Cropsciences Limited,Basic Materials,Agricultural Inputs
INSECTICID,Insecticides (India) Limited,Basic Materials,Agricultural Inputs
KSCL,Kaveri Seed Company Limited,Basic Materials,Agricultural Inputs
KHAICHEM,Khaitan Chemicals & Fertilizers Limited,Basic Materials,Agricultural Inputs
KRISHANA,Krishana Phoschem Limited,Basic Materials,Agricultural Inputs
MBAPL,Madhya Bharat Agro Products Limited,Basic Materials,Agricultural Inputs
MADRASFERT,Madras Fertilizers Limited,Basic Materials,Agricultural Inputs
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,Basic Materials,Agricultural Inputs
MOL,Meghmani Organics Limited,Basic Materials,Agricultural Inputs
NACLIND,NACL Industries Limited,Basic Materials,Agricultural Inputs
NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,Basic Materials,Agricultural Inputs
NARMADA,Narmada Agrobase Limited,Basic Materials,Agricultural Inputs
NATHBIOGEN,Nath Bio-Genes (India) Limited,Basic Materials,Agricultural Inputs
NFL,National Fertilizers Limited,Basic Materials,Agricultural Inputs
NOVAAGRI,Nova Agritech Limited,Basic Materials,Agricultural Inputs
PIIND,PI Industries Limited,Basic Materials,Agricultural Inputs
PARADEEP,Paradeep Phosphates Limited,Basic Materials,Agricultural Inputs
RALLIS,Rallis India Limited,Basic Materials,Agricultural Inputs
RAMAPHO,Rama Phosphates Limited,Basic Materials,Agricultural Inputs
RCF,Rashtriya Chemicals and Fertilizers Limited,Basic Materials,Agricultural Inputs
SHARDACROP,Sharda Cropchem Limited,Basic Materials,Agricultural Inputs
SHIVALIK,Shivalik Rasayan Limited,Basic Materials,Agricultural Inputs
OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,Basic Materials,Agricultural Inputs
SIKKO,Sikko Industries Limited,Basic Materials,Agricultural Inputs
SPIC,Southern Petrochemicals Industries Corporation  Limited,Basic Materials,Agricultural Inputs
SUMICHEM,Sumitomo Chemical India Limited,Basic Materials,Agricultural Inputs
UPL,UPL Limited,Basic Materials,Agricultural Inputs
ZUARI,Zuari Agro Chemicals Limited,Basic Materials,Agricultural Inputs
