Symbol,Company Name,Sector,Industry
ABFRL,Aditya Birla Fashion and Retail Limited,Consumer Cyclical,Apparel Manufacturing
ARVINDFASN,Arvind Fashions Limited,Consumer Cyclical,Apparel Manufacturing
BANG,Bang Overseas Limited,Consumer Cyclical,Apparel Manufacturing
BHANDARI,Bhandari Hosiery Exports Limited,Consumer Cyclical,Apparel Manufacturing
CANTABIL,Cantabil Retail India Limited,Consumer Cyclical,Apparel Manufacturing
CELEBRITY,Celebrity Fashions Limited,Consumer Cyclical,Apparel Manufacturing
DOLLAR,Dollar Industries Limited,Consumer Cyclical,Apparel Manufacturing
FILATFASH,Filatex Fashions Limited,Consumer Cyclical,Apparel Manufacturing
GOKEX,Gokaldas Exports Limited,Consumer Cyclical,Apparel Manufacturing
INDTERRAIN,Indian Terrain Fashions Limited,Consumer Cyclical,Apparel Manufacturing
IRISDOREME,Iris Clothings Limited,Consumer Cyclical,Apparel Manufacturing
KKCL,Kewal Kiran Clothing Limited,Consumer Cyclical,Apparel Manufacturing
KITEX,Kitex Garments Limited,Consumer Cyclical,Apparel Manufacturing
LIBAS,Libas Consumer Products Limited,Consumer Cyclical,Apparel Manufacturing
LAL,Lorenzini Apparels Limited,Consumer Cyclical,Apparel Manufacturing
LOVABLE,Lovable Lingerie Limited,Consumer Cyclical,Apparel Manufacturing
LUXIND,Lux Industries Limited,Consumer Cyclical,Apparel Manufacturing
MONTECARLO,Monte Carlo Fashions Limited,Consumer Cyclical,Apparel Manufacturing
JAIPURKURT,Nandani Creation Limited,Consumer Cyclical,Apparel Manufacturing
NIRAJISPAT,Niraj Ispat Industries Limited,Consumer Cyclical,Apparel Manufacturing
PAGEIND,Page Industries Limited,Consumer Cyclical,Apparel Manufacturing
PGIL,Pearl Global Industries Limited,Consumer Cyclical,Apparel Manufacturing
RAYMONDLSL,Raymond Lifestyle Limited,Consumer Cyclical,Apparel Manufacturing
RUPA,Rupa & Company Limited,Consumer Cyclical,Apparel Manufacturing
SPAL,S. P. Apparels Limited,Consumer Cyclical,Apparel Manufacturing
SPLIL,SPL Industries Limited,Consumer Cyclical,Apparel Manufacturing
VIPCLOTHNG,VIP Clothing Limited,Consumer Cyclical,Apparel Manufacturing
MANYAVAR,Vedant Fashions Limited,Consumer Cyclical,Apparel Manufacturing
ZODIACLOTH,Zodiac Clothing Company Limited,Consumer Cyclical,Apparel Manufacturing
