Symbol,Company Name,Sector,Industry
360ONE,360 ONE WAM LIMITED,Financial Services,Asset Management
ABSLAMC,Aditya Birla Sun Life AMC Limited,Financial Services,Asset Management
ANANDRATHI,Anand Rathi Wealth Limited,Financial Services,Asset Management
BFINVEST,BF Investment Limited,Financial Services,Asset Management
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Financial Services,Asset Management
GATECH,GACM Technologies Limited,Financial Services,Asset Management
GATECHDVR,GACM Technologies Limited,Financial Services,Asset Management
GFLLIMITED,GFL Limited,Financial Services,Asset Management
HDFCAMC,HDFC Asset Management Company Limited,Financial Services,Asset Management
JINDALPHOT,Jindal Photo Limited,Financial Services,Asset Management
JPOLYINVST,Jindal Poly Investment and Finance Company Limited,Financial Services,Asset Management
JIOFIN,Jio Financial Services Limited,Financial Services,Asset Management
KICL,Kalyani Investment Company Limited,Financial Services,Asset Management
LFIC,Lakshmi Finance & Industrial Corporation Limited,Financial Services,Asset Management
NSIL,Nalwa Sons Investments Limited,Financial Services,Asset Management
NAM-INDIA,Nippon Life India Asset Management Limited,Financial Services,Asset Management
NUVAMA,Nuvama Wealth Management Limited,Financial Services,Asset Management
OSWALGREEN,Oswal Greentech Limited,Financial Services,Asset Management
PILANIINVS,Pilani Investment and Industries Corporation Limited,Financial Services,Asset Management
PRUDENT,Prudent Corporate Advisory Services Limited,Financial Services,Asset Management
SILINV,SIL Investments Limited,Financial Services,Asset Management
STEL,Stel Holdings Limited,Financial Services,Asset Management
SUNDARMHLD,Sundaram Finance Holdings Limited,Financial Services,Asset Management
TIMESGTY,Times Guaranty Limited,Financial Services,Asset Management
UTIAMC,UTI Asset Management Company Limited,Financial Services,Asset Management
