Symbol,Company Name,Sector,Industry
ATHERENERG,Ather Energy Limited,Consumer Cyclical,Auto Manufacturers
ATULAUTO,Atul Auto Limited,Consumer Cyclical,Auto Manufacturers
BAJAJ-AUTO,Bajaj Auto Limited,Consumer Cyclical,Auto Manufacturers
EICHERMOT,Eicher Motors Limited,Consumer Cyclical,Auto Manufacturers
FORCEMOT,FORCE MOTORS LTD,Consumer Cyclical,Auto Manufacturers
HEROMOTOCO,Hero MotoCorp Limited,Consumer Cyclical,Auto Manufacturers
HINDMOTORS,Hindustan Motors Limited,Consumer Cyclical,Auto Manufacturers
HYUNDAI,Hyundai Motor India Limited,Consumer Cyclical,Auto Manufacturers
M&M,Mahindra & Mahindra Limited,Consumer Cyclical,Auto Manufacturers
MARUTI,Maruti Suzuki India Limited,Consumer Cyclical,Auto Manufacturers
OLAELEC,Ola Electric Mobility Limited,Consumer Cyclical,Auto Manufacturers
SMLISUZU,SML Isuzu Limited,Consumer Cyclical,Auto Manufacturers
TVSMOTOR,TVS Motor Company Limited,Consumer Cyclical,Auto Manufacturers
TATAMOTORS,Tata Motors Limited,Consumer Cyclical,Auto Manufacturers
