Symbol,Company Name,Sector,Industry
AUBANK,AU Small Finance Bank Limited,Financial Services,Banks - Regional
AXISBANK,Axis Bank Limited,Financial Services,Banks - Regional
BANDHANBNK,Bandhan Bank Limited,Financial Services,Banks - Regional
BANKBARODA,Bank of Baroda,Financial Services,Banks - Regional
BANKINDIA,Bank of India,Financial Services,Banks - Regional
MAHABANK,Bank of Maharashtra,Financial Services,Banks - Regional
CSBBANK,CSB Bank Limited,Financial Services,Banks - Regional
CANBK,Canara Bank,Financial Services,Banks - Regional
CAPITALSFB,Capital Small Finance Bank Limited,Financial Services,Banks - Regional
CENTRALBK,Central Bank of India,Financial Services,Banks - Regional
CUB,City Union Bank Limited,Financial Services,Banks - Regional
DCBBANK,DCB Bank Limited,Financial Services,Banks - Regional
DHANBANK,Dhanlaxmi Bank Limited,Financial Services,Banks - Regional
ESAFSFB,ESAF Small Finance Bank Limited,Financial Services,Banks - Regional
EQUITASBNK,Equitas Small Finance Bank Limited,Financial Services,Banks - Regional
FINOPB,Fino Payments Bank Limited,Financial Services,Banks - Regional
HDFCBANK,HDFC Bank Limited,Financial Services,Banks - Regional
ICICIBANK,ICICI Bank Limited,Financial Services,Banks - Regional
IDBI,IDBI Bank Limited,Financial Services,Banks - Regional
IDFCFIRSTB,IDFC First Bank Limited,Financial Services,Banks - Regional
INDIANB,Indian Bank,Financial Services,Banks - Regional
IOB,Indian Overseas Bank,Financial Services,Banks - Regional
INDUSINDBK,IndusInd Bank Limited,Financial Services,Banks - Regional
JSFB,Jana Small Finance Bank Limited,Financial Services,Banks - Regional
KARURVYSYA,Karur Vysya Bank Limited,Financial Services,Banks - Regional
KOTAKBANK,Kotak Mahindra Bank Limited,Financial Services,Banks - Regional
PSB,Punjab & Sind Bank,Financial Services,Banks - Regional
PNB,Punjab National Bank,Financial Services,Banks - Regional
RBLBANK,RBL Bank Limited,Financial Services,Banks - Regional
SBIN,State Bank of India,Financial Services,Banks - Regional
SURYODAY,Suryoday Small Finance Bank Limited,Financial Services,Banks - Regional
TMB,Tamilnad Mercantile Bank Limited,Financial Services,Banks - Regional
FEDERALBNK,The Federal Bank  Limited,Financial Services,Banks - Regional
J&KBANK,The Jammu & Kashmir Bank Limited,Financial Services,Banks - Regional
KTKBANK,The Karnataka Bank Limited,Financial Services,Banks - Regional
SOUTHBANK,The South Indian Bank Limited,Financial Services,Banks - Regional
UCOBANK,UCO Bank,Financial Services,Banks - Regional
UJJIVANSFB,Ujjivan Small Finance Bank Limited,Financial Services,Banks - Regional
UNIONBANK,Union Bank of India,Financial Services,Banks - Regional
UTKARSHBNK,Utkarsh Small Finance Bank Limited,Financial Services,Banks - Regional
YESBANK,Yes Bank Limited,Financial Services,Banks - Regional
