Symbol,Company Name,Sector,Industry
ABDL,Allied Blenders and Distillers Limited,Consumer Defensive,Beverages - Wineries & Distilleries
ASALCBR,Associated Alcohols & Breweries Ltd.,Consumer Defensive,Beverages - Wineries & Distilleries
BCLIND,Bcl Industries Limited,Consumer Defensive,Beverages - Wineries & Distilleries
GMBREW,GM Breweries Limited,Consumer Defensive,Beverages - Wineries & Distilleries
GLOBUSSPR,Globus Spirits Limited,Consumer Defensive,Beverages - Wineries & Distilleries
IFBAGRO,IFB Agro Industries Limited,Consumer Defensive,Beverages - Wineries & Distilleries
PICCADIL,Piccadily Agro Industries Limited,Consumer Defensive,Beverages - Wineries & Distilleries
RADICO,Radico Khaitan Limited,Consumer Defensive,Beverages - Wineries & Distilleries
RKDL,Ravi Kumar Distilleries Limited,Consumer Defensive,Beverages - Wineries & Distilleries
SULA,Sula Vineyards Limited,Consumer Defensive,Beverages - Wineries & Distilleries
TI,Tilaknagar Industries Limited,Consumer Defensive,Beverages - Wineries & Distilleries
UNITDSPR,United Spirits Limited,Consumer Defensive,Beverages - Wineries & Distilleries
