Symbol,Company Name,Sector,Industry
ANTHEM,Anthem Biosciences Limited,Healthcare,Biotechnology
BALAXI,BALAXI PHARMACEUTICALS LIMITED,Healthcare,Biotechnology
BIOCON,Biocon Limited,Healthcare,Biotechnology
BLUEJET,Blue Jet Healthcare Limited,Healthcare,Biotechnology
CONCORDBIO,Concord Biotech Limited,Healthcare,Biotechnology
DCAL,Dishman Carbogen Amcis Limited,Healthcare,Biotechnology
LYKALABS,Lyka Labs Limited,Healthcare,Biotechnology
ONESOURCE,Onesource Specialty Pharma Limited,Healthcare,Biotechnology
PANACEABIO,Panacea Biotec Limited,Healthcare,Biotechnology
SMSLIFE,SMS Lifesciences India Limited,Healthcare,Biotechnology
SUPRIYA,Supriya Lifescience Limited,Healthcare,Biotechnology
TAKE,Take Solutions Limited,Healthcare,Biotechnology
ZOTA,Zota Health Care LImited,Healthcare,Biotechnology
