Symbol,Company Name,Sector,Industry
BAGFILMS,B.A.G Films and Media Limited,Communication Services,Broadcasting
ENIL,Entertainment Network (India) Limited,Communication Services,Broadcasting
RADIOCITY,Music Broadcast Limited,Communication Services,Broadcasting
NDTV,New Delhi Television Limited,Communication Services,Broadcasting
NEXTMEDIA,Next Mediaworks Limited,Communication Services,Broadcasting
RAJTV,Raj Television Network Limited,Communication Services,Broadcasting
SABTNL,Sri Adhikari Brothers Television Network Limited,Communication Services,Broadcasting
SUNTV,Sun TV Network Limited,Communication Services,Broadcasting
TVTODAY,TV Today Network Limited,Communication Services,Broadcasting
TVVISION,TV Vision Limited,Communication Services,Broadcasting
ZEEL,Zee Entertainment Enterprises Limited,Communication Services,Broadcasting
ZEEMEDIA,Zee Media Corporation Limited,Communication Services,Broadcasting
