Symbol,Company Name,Sector,Industry
ACC,ACC Limited,Basic Materials,Building Materials
AMBUJACEM,Ambuja Cements Limited,Basic Materials,Building Materials
ACL,Andhra Cements Limited,Basic Materials,Building Materials
APCL,Anjani Portland Cement Limited,Basic Materials,Building Materials
BVCL,Barak Valley Cements Limited,Basic Materials,Building Materials
BIRLACORPN,Birla Corporation Limited,Basic Materials,Building Materials
DALBHARAT,Dalmia Bharat Limited,Basic Materials,Building Materials
DECCANCE,Deccan Cements Limited,Basic Materials,Building Materials
GSLSU,Global Surfaces Limited,Basic Materials,Building Materials
GRASIM,Grasim Industries Limited,Basic Materials,Building Materials
HEIDELBERG,HeidelbergCement India Limited,Basic Materials,Building Materials
IFGLEXPOR,IFGL Refractories Limited,Basic Materials,Building Materials
JKCEMENT,JK Cement Limited,Basic Materials,Building Materials
JKLAKSHMI,JK Lakshmi Cement Limited,Basic Materials,Building Materials
KCP,KCP Limited,Basic Materials,Building Materials
KAKATCEM,Kakatiya Cement Sugar & Industries Limited,Basic Materials,Building Materials
KESORAMIND,Kesoram Industries Limited,Basic Materials,Building Materials
MANGLMCEM,Mangalam Cement Limited,Basic Materials,Building Materials
NCLIND,NCL Industries Limited,Basic Materials,Building Materials
NAVKARURB,Navkar Urbanstructure Limited,Basic Materials,Building Materials
NUVOCO,Nuvoco Vistas Corporation Limited,Basic Materials,Building Materials
ORIENTCEM,Orient Cement Limited,Basic Materials,Building Materials
PRSMJOHNSN,Prism Johnson Limited,Basic Materials,Building Materials
SHREECEM,SHREE CEMENT LIMITED,Basic Materials,Building Materials
SAGCEM,Sagar Cements Limited,Basic Materials,Building Materials
SANGHIIND,Sanghi Industries Limited,Basic Materials,Building Materials
SAURASHCEM,Saurashtra Cement Limited,Basic Materials,Building Materials
SHREDIGCEM,Shree Digvijay Cement Co.Ltd,Basic Materials,Building Materials
STARCEMENT,Star Cement Limited,Basic Materials,Building Materials
INDIACEM,The India Cements Limited,Basic Materials,Building Materials
RAMCOCEM,The Ramco Cements Limited,Basic Materials,Building Materials
UDAICEMENT,Udaipur Cement Works Limited,Basic Materials,Building Materials
ULTRACEMCO,UltraTech Cement Limited,Basic Materials,Building Materials
