Symbol,Company Name,Sector,Industry
AHLADA,Ahlada Engineers Limited,Industrials,Building Products & Equipment
APOLLOPIPE,Apollo Pipes Limited,Industrials,Building Products & Equipment
AROGRANITE,Aro Granite Industries Limited,Industrials,Building Products & Equipment
ASIANTILES,Asian Granito India Limited,Industrials,Building Products & Equipment
ASTRAL,Astral Limited,Industrials,Building Products & Equipment
BEARDSELL,Beardsell Limited,Industrials,Building Products & Equipment
BIGBLOC,Bigbloc Construction Limited,Industrials,Building Products & Equipment
BIRLANU,BirlaNu Limited,Industrials,Building Products & Equipment
BLUESTARCO,Blue Star Limited,Industrials,Building Products & Equipment
CERA,Cera Sanitaryware Limited,Industrials,Building Products & Equipment
ELECTCAST,Electrosteel Castings Limited,Industrials,Building Products & Equipment
EVERESTIND,Everest Industries Limited,Industrials,Building Products & Equipment
EXXARO,Exxaro Tiles Limited,Industrials,Building Products & Equipment
FINPIPE,Finolex Industries Limited,Industrials,Building Products & Equipment
GRINDWELL,Grindwell Norton Limited,Industrials,Building Products & Equipment
HARDWYN,Hardwyn India Limited,Industrials,Building Products & Equipment
KAJARIACER,Kajaria Ceramics Limited,Industrials,Building Products & Equipment
KRITI,Kriti Industries (India) Limited,Industrials,Building Products & Equipment
LEXUS,Lexus Granito (India) Limited,Industrials,Building Products & Equipment
MADHAV,Madhav Marbles and Granites Limited,Industrials,Building Products & Equipment
MURUDCERA,Murudeshwar Ceramics Limited,Industrials,Building Products & Equipment
NITCO,Nitco Limited,Industrials,Building Products & Equipment
ORIENTBELL,Orient Bell Limited,Industrials,Building Products & Equipment
ORIENTALTL,Oriental Trimex Limited,Industrials,Building Products & Equipment
POKARNA,Pokarna Limited,Industrials,Building Products & Equipment
PPL,Prakash Pipes Limited,Industrials,Building Products & Equipment
PRINCEPIPE,Prince Pipes And Fittings Limited,Industrials,Building Products & Equipment
RAMCOIND,Ramco Industries Limited,Industrials,Building Products & Equipment
REGENCERAM,Regency Ceramics Limited,Industrials,Building Products & Equipment
SAHYADRI,Sahyadri Industries Limited,Industrials,Building Products & Equipment
SEJALLTD,Sejal Glass Limited,Industrials,Building Products & Equipment
SOMANYCERA,Somany Ceramics Limited,Industrials,Building Products & Equipment
SUPREMEIND,Supreme Industries Limited,Industrials,Building Products & Equipment
TEXMOPIPES,Texmo Pipes and Products Limited,Industrials,Building Products & Equipment
TIJARIA,Tijaria Polypipes Limited,Industrials,Building Products & Equipment
VISAKAIND,Visaka Industries Limited,Industrials,Building Products & Equipment
