Symbol,Company Name,Sector,Industry
21STCENMGM,21st Century Management Services Limited,Financial Services,Capital Markets
5PAISA,5Paisa Capital Limited,Financial Services,Capital Markets
AFSL,Abans Financial Services Limited,Financial Services,Capital Markets
BIRLAMONEY,Aditya Birla Money Limited,Financial Services,Capital Markets
ALMONDZ,Almondz Global Securities Limited,Financial Services,Capital Markets
ANGELONE,Angel One Limited,Financial Services,Capital Markets
ARIHANTCAP,Arihant Capital Markets Limited,Financial Services,Capital Markets
AUSOMENT,Ausom Enterprise Limited,Financial Services,Capital Markets
AIIL,Authum Investment & Infrastructure Limited,Financial Services,Capital Markets
AVONMORE,Avonmore Capital & Management Services Limited,Financial Services,Capital Markets
BLBLIMITED,BLB Limited,Financial Services,Capital Markets
CDSL,Central Depository Services (India) Limited,Financial Services,Capital Markets
CHOICEIN,Choice International Limited,Financial Services,Capital Markets
CONSOFINVT,Consolidated Finvest & Holdings Limited,Financial Services,Capital Markets
DBSTOCKBRO,DB (International) Stock Brokers Limited,Financial Services,Capital Markets
DELPHIFX,DELPHI WORLD MONEY LIMITED,Financial Services,Capital Markets
DAMCAPITAL,Dam Capital Advisors Limited,Financial Services,Capital Markets
DHUNINV,Dhunseri Investments Limited,Financial Services,Capital Markets
DVL,Dhunseri Ventures Limited,Financial Services,Capital Markets
DOLATALGO,Dolat Algotech Limited,Financial Services,Capital Markets
EMKAY,Emkay Global Financial Services Limited,Financial Services,Capital Markets
GEOJITFSL,Geojit Financial Services Limited,Financial Services,Capital Markets
HBSL,HB Stockholdings Limited,Financial Services,Capital Markets
HYBRIDFIN,Hybrid Financial Services Limited,Financial Services,Capital Markets
IIFLCAPS,IIFL Capital Services Limited,Financial Services,Capital Markets
INDBANK,Indbank Merchant Banking Services Limited,Financial Services,Capital Markets
IEX,Indian Energy Exchange Limited,Financial Services,Capital Markets
INDOTHAI,Indo Thai Securities Limited,Financial Services,Capital Markets
INVENTURE,Inventure Growth & Securities Limited,Financial Services,Capital Markets
JMFINANCIL,JM Financial Limited,Financial Services,Capital Markets
KEYFINSERV,Keynote Financial Services Limited,Financial Services,Capital Markets
KHANDSE,Khandwala Securities Limited,Financial Services,Capital Markets
MASKINVEST,Mask Investments Limited,Financial Services,Capital Markets
MASTERTR,Master Trust Limited,Financial Services,Capital Markets
MONARCH,Monarch Networth Capital Limited,Financial Services,Capital Markets
MOTILALOFS,Motilal Oswal Financial Services Limited,Financial Services,Capital Markets
NBIFIN,N. B. I. Industrial Finance Company Limited,Financial Services,Capital Markets
NDGL,Naga Dhunseri Group Limited,Financial Services,Capital Markets
NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,Financial Services,Capital Markets
NAHARCAP,Nahar Capital and Financial Services Limited,Financial Services,Capital Markets
ONELIFECAP,Onelife Capital Advisors Limited,Financial Services,Capital Markets
PNBGILTS,PNB Gilts Limited,Financial Services,Capital Markets
PRIMESECU,Prime Securities Limited,Financial Services,Capital Markets
SMCGLOBAL,SMC Global Securities Limited,Financial Services,Capital Markets
SHAREINDIA,Share India Securities Limited,Financial Services,Capital Markets
SPCENET,Spacenet Enterprises India Limited,Financial Services,Capital Markets
STEELCITY,Steel City Securities Limited,Financial Services,Capital Markets
SUMMITSEC,Summit Securities Limited,Financial Services,Capital Markets
TATAINVEST,Tata Investment Corporation Limited,Financial Services,Capital Markets
THEINVEST,The Investment Trust Of India Limited,Financial Services,Capital Markets
VLSFINANCE,VLS Finance Limited,Financial Services,Capital Markets
WEALTH,Wealth First Portfolio Managers Limited,Financial Services,Capital Markets
WELINV,Welspun Investments and Commercials Limited,Financial Services,Capital Markets
