Symbol,Company Name,Sector,Industry
AMNPLST,Amines & Plasticizers Limited,Basic Materials,Chemicals
ACI,Archean Chemical Industries Limited,Basic Materials,Chemicals
BEPL,Bhansali Engineering Polymers Limited,Basic Materials,Chemicals
CHEMPLASTS,Chemplast Sanmar Limited,Basic Materials,Chemicals
DCW,DCW Limited,Basic Materials,Chemicals
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,Basic Materials,Chemicals
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,Basic Materials,Chemicals
DEEPAKNTR,Deepak Nitrite Limited,Basic Materials,Chemicals
DIAMINESQ,Diamines & Chemicals Limited,Basic Materials,Chemicals
ELLEN,Ellenbarrie Industrial Gases Limited,Basic Materials,Chemicals
EPIGRAL,Epigral Limited,Basic Materials,Chemicals
FOSECOIND,Foseco India Limited,Basic Materials,Chemicals
GHCL,GHCL Limited,Basic Materials,Chemicals
GODAVARIB,Godavari Biorefineries Limited,Basic Materials,Chemicals
GUJALKALI,Gujarat Alkalies and Chemicals Limited,Basic Materials,Chemicals
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,Basic Materials,Chemicals
GULPOLY,Gulshan Polyols Limited,Basic Materials,Chemicals
IGPL,IG Petrochemicals Limited,Basic Materials,Chemicals
INDIAGLYCO,India Glycols Limited,Basic Materials,Chemicals
INDOAMIN,Indo Amines Limited,Basic Materials,Chemicals
INDOBORAX,Indo Borax & Chemicals Limited,Basic Materials,Chemicals
ISHANCH,Ishan Dyes and Chemicals Limited,Basic Materials,Chemicals
KANORICHEM,Kanoria Chemicals & Industries Limited,Basic Materials,Chemicals
LORDSCHLO,Lords Chloro Alkali Limited,Basic Materials,Chemicals
NAVINFLUOR,Navin Fluorine International Limited,Basic Materials,Chemicals
OCCLLTD,OCCL Limited,Basic Materials,Chemicals
PRIMO,Primo Chemicals Limited,Basic Materials,Chemicals
PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,Basic Materials,Chemicals
RPEL,Raghav Productivity Enhancers Limited,Basic Materials,Chemicals
SANGINITA,Sanginita Chemicals Limited,Basic Materials,Chemicals
SANSTAR,Sanstar Limited,Basic Materials,Chemicals
SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited,Basic Materials,Chemicals
STYRENIX,Styrenix Performance Materials Limited,Basic Materials,Chemicals
TATACHEM,Tata Chemicals Limited,Basic Materials,Chemicals
ANDHRSUGAR,The Andhra Sugars Limited,Basic Materials,Chemicals
UNIENTER,Uniphos Enterprises Limited,Basic Materials,Chemicals
VALIANTORG,Valiant Organics Limited,Basic Materials,Chemicals
VINEETLAB,Vineet Laboratories Limited,Basic Materials,Chemicals
