Symbol,Company Name,Sector,Industry
AKSHOPTFBR,Aksh Optifibre Limited,Technology,Communication Equipment
ASTRAMICRO,Astra Microwave Products Limited,Technology,Communication Equipment
AVANTEL,Avantel Limited,Technology,Communication Equipment
BIRLACABLE,Birla Cable Limited,Technology,Communication Equipment
DLINKINDIA,D-Link (India) Limited,Technology,Communication Equipment
GTLINFRA,GTL Infrastructure Limited,Technology,Communication Equipment
HFCL,HFCL Limited,Technology,Communication Equipment
ITI,ITI Limited,Technology,Communication Equipment
KAVDEFENCE,Kavveri Defence & Wireless Technologies Limited,Technology,Communication Equipment
NELCO,NELCO Limited,Technology,Communication Equipment
PANACHE,Panache Digilife Limited,Technology,Communication Equipment
PARACABLES,Paramount Communications Limited,Technology,Communication Equipment
SHYAMTEL,Shyam Telecom Limited,Technology,Communication Equipment
SMARTLINK,Smartlink Holdings Limited,Technology,Communication Equipment
STLTECH,Sterlite Technologies Limited,Technology,Communication Equipment
TNTELE,Tamilnadu Telecommunication Limited,Technology,Communication Equipment
TEJASNET,Tejas Networks Limited,Technology,Communication Equipment
