Symbol,Company Name,Sector,Industry
AVADHSUGAR,Avadh Sugar & Energy Limited,Consumer Defensive,Confectioners
BAJAJHIND,Bajaj Hindusthan Sugar Limited,Consumer Defensive,Confectioners
BALRAMCHIN,Balrampur Chini Mills Limited,Consumer Defensive,Confectioners
BANARISUG,Bannari Amman Sugars Limited,Consumer Defensive,Confectioners
DCMSRIND,DCM Shriram Industries Limited,Consumer Defensive,Confectioners
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,Consumer Defensive,Confectioners
DAVANGERE,Davangere Sugar Company Limited,Consumer Defensive,Confectioners
DHAMPURSUG,Dhampur Sugar Mills Limited,Consumer Defensive,Confectioners
DWARKESH,Dwarikesh Sugar Industries Limited,Consumer Defensive,Confectioners
KMSUGAR,K.M.Sugar Mills Limited,Consumer Defensive,Confectioners
KCPSUGIND,KCP Sugar and Industries Corporation Limited,Consumer Defensive,Confectioners
KOTARISUG,Kothari Sugars And Chemicals Limited,Consumer Defensive,Confectioners
MAGADSUGAR,Magadh Sugar & Energy Limited,Consumer Defensive,Confectioners
MAWANASUG,Mawana Sugars Limited,Consumer Defensive,Confectioners
PONNIERODE,Ponni Sugars (Erode) Limited,Consumer Defensive,Confectioners
PRUDMOULI,Prudential Sugar Corporation Limited,Consumer Defensive,Confectioners
RAJSREESUG,Rajshree Sugars & Chemicals Limited,Consumer Defensive,Confectioners
RANASUG,Rana Sugars Limited,Consumer Defensive,Confectioners
SAKHTISUG,Sakthi Sugars Limited,Consumer Defensive,Confectioners
RENUKA,Shree Renuka Sugars Limited,Consumer Defensive,Confectioners
SIMBHALS,Simbhaoli Sugars Limited,Consumer Defensive,Confectioners
UGARSUGAR,The Ugar Sugar Works Limited,Consumer Defensive,Confectioners
TRIVENI,Triveni Engineering & Industries Limited,Consumer Defensive,Confectioners
UTTAMSUGAR,Uttam Sugar Mills Limited,Consumer Defensive,Confectioners
VISHWARAJ,Vishwaraj Sugar Industries Limited,Consumer Defensive,Confectioners
