Symbol,Company Name,Sector,Industry
3MINDIA,3M India Limited,Industrials,Conglomerates
BEML,BEML Limited,Industrials,Conglomerates
BALMLAWRIE,Balmer Lawrie & Company Limited,Industrials,Conglomerates
CPCAP,CP Capital Limited,Industrials,Conglomerates
CARBORUNIV,Carborundum Universal Limited,Industrials,Conglomerates
CYIENT,Cyient Limited,Industrials,Conglomerates
DCMSHRIRAM,DCM Shriram Limited,Industrials,Conglomerates
EXCEL,Excel Realty N Infra Limited,Industrials,Conglomerates
GODREJIND,Godrej Industries Limited,Industrials,Conglomerates
HNDFDS,Hindustan Foods Limited,Industrials,Conglomerates
JSWHL,JSW Holdings Limited,Industrials,Conglomerates
JISLDVREQS,Jain Irrigation Systems Limited,Industrials,Conglomerates
JISLJALEQS,Jain Irrigation Systems Limited,Industrials,Conglomerates
JPASSOCIAT,Jaiprakash Associates Limited,Industrials,Conglomerates
KOTHARIPRO,Kothari Products Limited,Industrials,Conglomerates
MMTC,MMTC Limited,Industrials,Conglomerates
MSTCLTD,Mstc Limited,Industrials,Conglomerates
NAVA,NAVA LIMITED,Industrials,Conglomerates
NIBE,NIBE Limited,Industrials,Conglomerates
NESCO,Nesco Limited,Industrials,Conglomerates
PVP,PVP Ventures Limited,Industrials,Conglomerates
ROSSELLIND,Rossell India Limited,Industrials,Conglomerates
SBC,SBC Exports Limited,Industrials,Conglomerates
SRF,SRF Limited,Industrials,Conglomerates
SIGIND,Signet Industries Limited,Industrials,Conglomerates
SINDHUTRAD,Sindhu Trade Links Limited,Industrials,Conglomerates
SWANENERGY,Swan Energy Limited,Industrials,Conglomerates
STCINDIA,The State Trading Corporation of India Limited,Industrials,Conglomerates
THERMAX,Thermax Limited,Industrials,Conglomerates
TIINDIA,Tube Investments of India Limited,Industrials,Conglomerates
ZUARIIND,ZUARI INDUSTRIES LIMITED,Industrials,Conglomerates
