Symbol,Company Name,Sector,Industry
AFIL,Akme Fintrade (India) Limited,Financial Services,Credit Services
ARMANFIN,Arman Financial Services Limited,Financial Services,Credit Services
BAIDFIN,Baid Finserv Limited,Financial Services,Credit Services
BAJFINANCE,Bajaj Finance Limited,Financial Services,Credit Services
CREDITACC,CREDITACCESS GRAMEEN LIMITED,Financial Services,Credit Services
CSLFINANCE,CSL Finance Limited,Financial Services,Credit Services
CIFL,Capital India Finance Limited,Financial Services,Credit Services
CAPTRUST,Capital Trust Limited,Financial Services,Credit Services
CGCL,Capri Global Capital Limited,Financial Services,Credit Services
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,Financial Services,Credit Services
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Financial Services,Credit Services
DCMFINSERV,DCM Financial Services Limited,Financial Services,Credit Services
DHANI,Dhani Services Limited,Financial Services,Credit Services
FEDFINA,Fedbank Financial Services Limited,Financial Services,Credit Services
FIVESTAR,Five-Star Business Finance Limited,Financial Services,Credit Services
FUSION,Fusion Finance Limited,Financial Services,Credit Services
HDBFS,HDB Financial Services Limited,Financial Services,Credit Services
HEXATRADEX,Hexa Tradex Limited,Financial Services,Credit Services
HUDCO,Housing & Urban Development Corporation Limited,Financial Services,Credit Services
IFCI,IFCI Limited,Financial Services,Credit Services
IIFL,IIFL Finance Limited,Financial Services,Credit Services
IRFC,Indian Railway Finance Corporation Limited,Financial Services,Credit Services
IREDA,Indian Renewable Energy Development Agency Limited,Financial Services,Credit Services
INDOSTAR,IndoStar Capital Finance Limited,Financial Services,Credit Services
IITL,Industrial Investment Trust Limited,Financial Services,Credit Services
LTF,L&T Finance Limited,Financial Services,Credit Services
MASFIN,MAS Financial Services Limited,Financial Services,Credit Services
MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,Financial Services,Credit Services
M&MFIN,Mahindra & Mahindra Financial Services Limited,Financial Services,Credit Services
MANAPPURAM,Manappuram Finance Limited,Financial Services,Credit Services
MANBA,Manba Finance Limited,Financial Services,Credit Services
MANCREDIT,Mangal Credit and Fincorp Limited,Financial Services,Credit Services
MUFIN,Mufin Green Finance Limited,Financial Services,Credit Services
MUTHOOTCAP,Muthoot Capital Services Limited,Financial Services,Credit Services
MUTHOOTFIN,Muthoot Finance Limited,Financial Services,Credit Services
MUTHOOTMF,Muthoot Microfin Limited,Financial Services,Credit Services
NORTHARC,Northern Arc Capital Limited,Financial Services,Credit Services
PFS,PTC India Financial Services Limited,Financial Services,Credit Services
PAISALO,Paisalo Digital Limited,Financial Services,Credit Services
POONAWALLA,Poonawalla Fincorp Limited,Financial Services,Credit Services
PFC,Power Finance Corporation Limited,Financial Services,Credit Services
RECLTD,REC Limited,Financial Services,Credit Services
SBFC,SBFC Finance Limited,Financial Services,Credit Services
SBICARD,SBI Cards and Payment Services Limited,Financial Services,Credit Services
SATIN,Satin Creditcare Network Limited,Financial Services,Credit Services
SHRIRAMFIN,Shriram Finance Limited,Financial Services,Credit Services
SPANDANA,Spandana Sphoorty Financial Limited,Financial Services,Credit Services
STARTECK,Starteck Finance Limited,Financial Services,Credit Services
SUNDARMFIN,Sundaram Finance Limited,Financial Services,Credit Services
TCIFINANCE,TCI Finance Limited,Financial Services,Credit Services
TFCILTD,Tourism Finance Corporation of India Limited,Financial Services,Credit Services
TRU,TruCap Finance Limited,Financial Services,Credit Services
UYFINCORP,U. Y. Fincorp Limited,Financial Services,Credit Services
UGROCAP,Ugro Capital Limited,Financial Services,Credit Services
VHL,Vardhman Holdings Limited,Financial Services,Credit Services
VIJIFIN,Viji Finance Limited,Financial Services,Credit Services
WILLAMAGOR,Williamson Magor & Company Limited,Financial Services,Credit Services
YAARI,Yaari Digital Integrated Services Limited,Financial Services,Credit Services
