Symbol,Company Name,Sector,Industry
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,Healthcare,Drug Manufacturers - General
KOPRAN,Kopran Limited,Healthcare,Drug Manufacturers - General
MARKSANS,Marksans Pharma Limited,Healthcare,Drug Manufacturers - General
NGLFINE,NGL Fine-Chem Limited,Healthcare,Drug Manufacturers - General
PFIZER,Pfizer Limited,Healthcare,Drug Manufacturers - General
SMSPHARMA,SMS Pharmaceuticals Limited,Healthcare,Drug Manufacturers - General
SANOFICONR,Sanofi Consumer Healthcare India Limited,Healthcare,Drug Manufacturers - General
SANOFI,Sanofi India Limited,Healthcare,Drug Manufacturers - General
SENORES,Senores Pharmaceuticals Limited,Healthcare,Drug Manufacturers - General
TTKHLTCARE,TTK Healthcare Limited,Healthcare,Drug Manufacturers - General
