Symbol,Company Name,Sector,Industry
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic
AARTIDRUGS,Aarti Drugs Limited,Healthcare,Drug Manufacturers - Specialty & Generic
AARTIPHARM,Aarti Pharmalabs Limited,Healthcare,Drug Manufacturers - Specialty & Generic
ABBOTINDIA,Abbott India Limited,Healthcare,Drug Manufacturers - Specialty & Generic
AJANTPHARM,Ajanta Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic
AKUMS,Akums Drugs and Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic
ALBERTDAVD,Albert David Limited,Healthcare,Drug Manufacturers - Specialty & Generic
APLLTD,Alembic Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic
ALIVUS,Alivus Life Sciences Limited,Healthcare,Drug Manufacturers - Specialty & Generic
ALKEM,Alkem Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic
ALPA,Alpa Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic
AMRUTANJAN,Amrutanjan Health Care Limited,Healthcare,Drug Manufacturers - Specialty & Generic
ANUHPHR,Anuh Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic
ASTRAZEN,AstraZeneca Pharma India Limited,Healthcare,Drug Manufacturers - Specialty & Generic
AUROPHARMA,Aurobindo Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic
BAFNAPH,Bafna Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic
BAJAJHCARE,Bajaj Healthcare Limited,Healthcare,Drug Manufacturers - Specialty & Generic
BALPHARMA,Bal Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic
BLISSGVS,Bliss GVS Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic
BROOKS,Brooks Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic
CAPLIPOINT,Caplin Point Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic
CIPLA,Cipla Limited,Healthcare,Drug Manufacturers - Specialty & Generic
COHANCE,Cohance Lifesciences Limited,Healthcare,Drug Manufacturers - Specialty & Generic
DIVISLAB,Divi's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic
DRREDDY,Dr. Reddy's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic
EMCURE,Emcure Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic
ERIS,Eris Lifesciences Limited,Healthcare,Drug Manufacturers - Specialty & Generic
FDC,FDC Limited,Healthcare,Drug Manufacturers - Specialty & Generic
GLAND,Gland Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic
GLENMARK,Glenmark Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic
GRANULES,Granules India Limited,Healthcare,Drug Manufacturers - Specialty & Generic
GUFICBIO,Gufic Biosciences Limited,Healthcare,Drug Manufacturers - Specialty & Generic
GUJTHEM,Gujarat Themis Biosyn Limited,Healthcare,Drug Manufacturers - Specialty & Generic
HESTERBIO,Hester Biosciences Limited,Healthcare,Drug Manufacturers - Specialty & Generic
HIKAL,Hikal Limited,Healthcare,Drug Manufacturers - Specialty & Generic
IOLCP,IOL Chemicals and Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic
IPCALAB,IPCA Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic
INDSWFTLAB,Ind-Swift Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic
INDSWFTLTD,Ind-Swift Limited,Healthcare,Drug Manufacturers - Specialty & Generic
INDOCO,Indoco Remedies Limited,Healthcare,Drug Manufacturers - Specialty & Generic
INNOVACAP,Innova Captab Limited,Healthcare,Drug Manufacturers - Specialty & Generic
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic
JUBLPHARMA,Jubilant Pharmova Limited,Healthcare,Drug Manufacturers - Specialty & Generic
KILITCH,Kilitch Drugs (India) Limited,Healthcare,Drug Manufacturers - Specialty & Generic
KREBSBIO,Krebs Biochemicals and Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic
LASA,Lasa Supergenerics Limited,Healthcare,Drug Manufacturers - Specialty & Generic
LAURUSLABS,Laurus Labs Limited,Healthcare,Drug Manufacturers - Specialty & Generic
LINCOLN,Lincoln Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic
LUPIN,Lupin Limited,Healthcare,Drug Manufacturers - Specialty & Generic
MANGALAM,Mangalam Drugs And Organics Limited,Healthcare,Drug Manufacturers - Specialty & Generic
MANKIND,Mankind Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic
MEDICAMEQ,Medicamen Biotech Limited,Healthcare,Drug Manufacturers - Specialty & Generic
MEDICO,Medico Remedies Limited,Healthcare,Drug Manufacturers - Specialty & Generic
MEGASOFT,Megasoft Limited,Healthcare,Drug Manufacturers - Specialty & Generic
MOREPENLAB,Morepen Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic
NATCOPHARM,Natco Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic
NATCAPSUQ,Natural Capsules Limited,Healthcare,Drug Manufacturers - Specialty & Generic
NECLIFE,Nectar Lifesciences Limited,Healthcare,Drug Manufacturers - Specialty & Generic
NEULANDLAB,Neuland Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic
ORTINGLOBE,ORTIN GLOBAL LIMITED,Healthcare,Drug Manufacturers - Specialty & Generic
ORCHPHARMA,Orchid Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic
PAR,Par Drugs And Chemicals Limited,Healthcare,Drug Manufacturers - Specialty & Generic
PPLPHARMA,Piramal Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic
PGHL,Procter & Gamble Health Limited,Healthcare,Drug Manufacturers - Specialty & Generic
RPGLIFE,RPG Life Sciences Limited,Healthcare,Drug Manufacturers - Specialty & Generic
SAKAR,Sakar Healthcare Limited,Healthcare,Drug Manufacturers - Specialty & Generic
SEQUENT,Sequent Scientific Limited,Healthcare,Drug Manufacturers - Specialty & Generic
SHILPAMED,Shilpa Medicare Limited,Healthcare,Drug Manufacturers - Specialty & Generic
SIGACHI,Sigachi Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic
SOLARA,Solara Active Pharma Sciences Limited,Healthcare,Drug Manufacturers - Specialty & Generic
STAR,Strides Pharma Science Limited,Healthcare,Drug Manufacturers - Specialty & Generic
SPARC,Sun Pharma Advanced Research Company Limited,Healthcare,Drug Manufacturers - Specialty & Generic
SUNPHARMA,Sun Pharmaceutical Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic
SUVEN,Suven Life Sciences Limited,Healthcare,Drug Manufacturers - Specialty & Generic
SYNCOMF,Syncom Formulations (India) Limited,Healthcare,Drug Manufacturers - Specialty & Generic
THEMISMED,Themis Medicare Limited,Healthcare,Drug Manufacturers - Specialty & Generic
TORNTPHARM,Torrent Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic
UNICHEMLAB,Unichem Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic
VAISHALI,Vaishali Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic
VALIANTLAB,Valiant Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic
VENUSREM,Venus Remedies Limited,Healthcare,Drug Manufacturers - Specialty & Generic
WANBURY,Wanbury Limited,Healthcare,Drug Manufacturers - Specialty & Generic
WINDLAS,Windlas Biotech Limited,Healthcare,Drug Manufacturers - Specialty & Generic
WOCKPHARMA,Wockhardt Limited,Healthcare,Drug Manufacturers - Specialty & Generic
ZIMLAB,Zim Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic
ZYDUSLIFE,Zydus Lifesciences Limited,Healthcare,Drug Manufacturers - Specialty & Generic
