Symbol,Company Name,Sector,Industry
APTECHT,Aptech Limited,Consumer Defensive,Education & Training Services
CLEDUCATE,CL Educate Limited,Consumer Defensive,Education & Training Services
COMPUSOFT,Compucom Software Limited,Consumer Defensive,Education & Training Services
CRIZAC,Crizac Limited,Consumer Defensive,Education & Training Services
KEEPLEARN,DSJ Keep Learning Limited,Consumer Defensive,Education & Training Services
GTECJAINX,G-TEC JAINX EDUCATION LIMITED,Consumer Defensive,Education & Training Services
GLOBAL,Global Education Limited,Consumer Defensive,Education & Training Services
LCCINFOTEC,LCC Infotech Limited,Consumer Defensive,Education & Training Services
MTEDUCARE,MT Educare Limited,Consumer Defensive,Education & Training Services
NIITMTS,NIIT Learning Systems Limited,Consumer Defensive,Education & Training Services
NIITLTD,NIIT Limited,Consumer Defensive,Education & Training Services
TREEHOUSE,Tree House Education & Accessories Limited,Consumer Defensive,Education & Training Services
UMESLTD,Usha Martin Education & Solutions Limited,Consumer Defensive,Education & Training Services
VERANDA,Veranda Learning Solutions Limited,Consumer Defensive,Education & Training Services
ZEELEARN,Zee Learn Limited,Consumer Defensive,Education & Training Services
