Symbol,Company Name,Sector,Industry
AARTECH,Aartech Solonics Limited,Industrials,Electrical Equipment & Parts
ARE&M,Amara Raja Energy & Mobility Limited,Industrials,Electrical Equipment & Parts
APARINDS,Apar Industries Limited,Industrials,Electrical Equipment & Parts
BBL,Bharat Bijlee Limited,Industrials,Electrical Equipment & Parts
CGPOWER,CG Power and Industrial Solutions Limited,Industrials,Electrical Equipment & Parts
CORDSCABLE,Cords Cable Industries Limited,Industrials,Electrical Equipment & Parts
DENORA,De Nora India Limited,Industrials,Electrical Equipment & Parts
DYCL,Dynamic Cables Limited,Industrials,Electrical Equipment & Parts
ELIN,Elin Electronics Limited,Industrials,Electrical Equipment & Parts
EVEREADY,Eveready Industries India Limited,Industrials,Electrical Equipment & Parts
EXICOM,Exicom Tele-Systems Limited,Industrials,Electrical Equipment & Parts
FINCABLES,Finolex Cables Limited,Industrials,Electrical Equipment & Parts
GEEKAYWIRE,Geekay Wires Limited,Industrials,Electrical Equipment & Parts
GENUSPOWER,Genus Power Infrastructures Limited,Industrials,Electrical Equipment & Parts
GODHA,Godha Cabcon & Insulation Limited,Industrials,Electrical Equipment & Parts
GRAPHITE,Graphite India Limited,Industrials,Electrical Equipment & Parts
HBLENGINE,HBL Engineering Limited,Industrials,Electrical Equipment & Parts
HEG,HEG Limited,Industrials,Electrical Equipment & Parts
HPL,HPL Electric & Power Limited,Industrials,Electrical Equipment & Parts
HAVELLS,Havells India Limited,Industrials,Electrical Equipment & Parts
HIRECT,Hind Rectifiers Limited,Industrials,Electrical Equipment & Parts
POWERINDIA,Hitachi Energy India Limited,Industrials,Electrical Equipment & Parts
HONAUT,Honeywell Automation India Limited,Industrials,Electrical Equipment & Parts
INDOTECH,Indo Tech Transformers Limited,Industrials,Electrical Equipment & Parts
NIPPOBATRY,Indo-National Limited,Industrials,Electrical Equipment & Parts
KEI,KEI Industries Limited,Industrials,Electrical Equipment & Parts
MODISONLTD,MODISON LIMITED,Industrials,Electrical Equipment & Parts
OSWALPUMPS,Oswal Pumps Limited,Industrials,Electrical Equipment & Parts
PLAZACABLE,Plaza Wires Limited,Industrials,Electrical Equipment & Parts
POLYCAB,Polycab India Limited,Industrials,Electrical Equipment & Parts
PRECWIRE,Precision Wires India Limited,Industrials,Electrical Equipment & Parts
PROSTARM,Prostarm Info Systems Limited,Industrials,Electrical Equipment & Parts
QPOWER,Quality Power Electrical Equipments Limited,Industrials,Electrical Equipment & Parts
RRKABEL,R R Kabel Limited,Industrials,Electrical Equipment & Parts
RAMRAT,Ram Ratna Wires Limited,Industrials,Electrical Equipment & Parts
S&SPOWER,S&S Power Switchgears Limited,Industrials,Electrical Equipment & Parts
SALZERELEC,Salzer Electronics Limited,Industrials,Electrical Equipment & Parts
SCHNEIDER,Schneider Electric Infrastructure Limited,Industrials,Electrical Equipment & Parts
SERVOTECH,Servotech Renewable Power System Limited,Industrials,Electrical Equipment & Parts
SPECTRUM,Spectrum Electrical Industries Limited,Industrials,Electrical Equipment & Parts
TARIL,Transformers And Rectifiers (India) Limited,Industrials,Electrical Equipment & Parts
UNIVCABLES,Universal Cables Limited,Industrials,Electrical Equipment & Parts
VGUARD,V-Guard Industries Limited,Industrials,Electrical Equipment & Parts
VETO,Veto Switchgears And Cables Limited,Industrials,Electrical Equipment & Parts
VOLTAMP,Voltamp Transformers Limited,Industrials,Electrical Equipment & Parts
WSI,W S Industries (I) Limited,Industrials,Electrical Equipment & Parts
