Symbol,Company Name,Sector,Industry
ABINFRA,A B Infrabuild Limited,Industrials,Engineering & Construction
A2ZINFRA,A2Z Infra Engineering Limited,Industrials,Engineering & Construction
AXISCADES,AXISCADES Technologies Limited,Industrials,Engineering & Construction
AFCONS,Afcons Infrastructure Limited,Industrials,Engineering & Construction
AHLUCONT,Ahluwalia Contracts (India) Limited,Industrials,Engineering & Construction
AKASH,Akash Infra-Projects Limited,Industrials,Engineering & Construction
ARISINFRA,Arisinfra Solutions Limited,Industrials,Engineering & Construction
ASHOKA,Ashoka Buildcon Limited,Industrials,Engineering & Construction
ATALREAL,Atal Realtech Limited,Industrials,Engineering & Construction
BLKASHYAP,B. L. Kashyap and Sons Limited,Industrials,Engineering & Construction
BGRENERGY,BGR Energy Systems Limited,Industrials,Engineering & Construction
CAPACITE,Capacit'e Infraprojects Limited,Industrials,Engineering & Construction
CEIGALL,Ceigall India Limited,Industrials,Engineering & Construction
CCCL,Consolidated Construction Consortium Limited,Industrials,Engineering & Construction
DBEIL,Deepak Builders & Engineers India Limited,Industrials,Engineering & Construction
DENTA,Denta Water and Infra Solutions Limited,Industrials,Engineering & Construction
DHRUV,Dhruv Consultancy Services Limited,Industrials,Engineering & Construction
DBL,Dilip Buildcon Limited,Industrials,Engineering & Construction
DREDGECORP,Dredging Corporation of India Limited,Industrials,Engineering & Construction
EMSLIMITED,EMS Limited,Industrials,Engineering & Construction
ENGINERSIN,Engineers India Limited,Industrials,Engineering & Construction
EIEL,Enviro Infra Engineers Limited,Industrials,Engineering & Construction
GRINFRA,G R Infraprojects Limited,Industrials,Engineering & Construction
GEPIL,GE Power India Limited,Industrials,Engineering & Construction
GPTINFRA,GPT Infraprojects Limited,Industrials,Engineering & Construction
GARUDA,Garuda Construction and Engineering Limited,Industrials,Engineering & Construction
GAYAPROJ,Gayatri Projects Limited,Industrials,Engineering & Construction
GENCON,Generic Engineering Construction and Projects Limited,Industrials,Engineering & Construction
GLOBECIVIL,Globe Civil Projects Limited,Industrials,Engineering & Construction
HGINFRA,H.G. Infra Engineering Limited,Industrials,Engineering & Construction
HECPROJECT,HEC Infra Projects Limited,Industrials,Engineering & Construction
HCC,Hindustan Construction Company Limited,Industrials,Engineering & Construction
IL&FSENGG,IL&FS Engineering and Construction Company Limited,Industrials,Engineering & Construction
ITDCEM,ITD Cementation India Limited,Industrials,Engineering & Construction
INDIANHUME,Indian Hume Pipe Company Limited,Industrials,Engineering & Construction
INTERARCH,Interarch Building Solutions Limited,Industrials,Engineering & Construction
IRCON,Ircon International Limited,Industrials,Engineering & Construction
JKIL,J.Kumar Infraprojects Limited,Industrials,Engineering & Construction
JITFINFRA,JITF Infralogistics Limited,Industrials,Engineering & Construction
KPEL,K.P. Energy Limited,Industrials,Engineering & Construction
KEC,KEC International Limited,Industrials,Engineering & Construction
KNRCON,KNR Constructions Limited,Industrials,Engineering & Construction
KPIL,Kalpataru Projects International Limited,Industrials,Engineering & Construction
KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,Industrials,Engineering & Construction
LT,Larsen & Toubro Limited,Industrials,Engineering & Construction
MBLINFRA,MBL Infrastructure Limited,Industrials,Engineering & Construction
MITCON,MITCON Consultancy & Engineering Services Limited,Industrials,Engineering & Construction
MADHUCON,Madhucon Projects Limited,Industrials,Engineering & Construction
MANINFRA,Man Infraconstruction Limited,Industrials,Engineering & Construction
