Symbol,Company Name,Sector,Industry
BALAJITELE,Balaji Telefilms Limited,Communication Services,Entertainment
BTML,Bodhi Tree Multimedia Limited,Communication Services,Entertainment
CINELINE,Cineline India Limited,Communication Services,Entertainment
CINEVISTA,Cinevista Limited,Communication Services,Entertainment
CREATIVEYE,Creative Eye Limited,Communication Services,Entertainment
DEN,Den Networks Limited,Communication Services,Entertainment
DISHTV,Dish TV India Limited,Communication Services,Entertainment
GTPL,GTPL Hathway Limited,Communication Services,Entertainment
HATHWAY,Hathway Cable & Datacom Limited,Communication Services,Entertainment
IMAGICAA,Imagicaaworld Entertainment Limited,Communication Services,Entertainment
MUKTAARTS,Mukta Arts Limited,Communication Services,Entertainment
NDLVENTURE,NDL Ventures Limited,Communication Services,Entertainment
NETWORK18,Network18 Media & Investments Limited,Communication Services,Entertainment
ORTEL,Ortel Communications Limited,Communication Services,Entertainment
PVRINOX,PVR INOX Limited,Communication Services,Entertainment
PFOCUS,Prime Focus Limited,Communication Services,Entertainment
PNC,Pritish Nandy Communications Limited,Communication Services,Entertainment
RADAAN,Radaan Mediaworks India Limited,Communication Services,Entertainment
SAREGAMA,Saregama India Limited,Communication Services,Entertainment
SHEMAROO,Shemaroo Entertainment Limited,Communication Services,Entertainment
SILLYMONKS,Silly Monks Entertainment Limited,Communication Services,Entertainment
SITINET,Siti Networks Limited,Communication Services,Entertainment
TIPSFILMS,Tips Films Limited,Communication Services,Entertainment
TIPSMUSIC,Tips Music Limited,Communication Services,Entertainment
UFO,UFO Moviez India Limited,Communication Services,Entertainment
