Symbol,Company Name,Sector,Industry
ACE,Action Construction Equipment Limited,Industrials,Farm & Heavy Construction Machinery
AJAXENGG,Ajax Engineering Limited,Industrials,Farm & Heavy Construction Machinery
ASHOKLEY,Ashok Leyland Limited,Industrials,Farm & Heavy Construction Machinery
DIL,Debock Industries Limited,Industrials,Farm & Heavy Construction Machinery
EIMCOELECO,Eimco Elecon (India) Limited,Industrials,Farm & Heavy Construction Machinery
ESCORTS,Escorts Kubota Limited,Industrials,Farm & Heavy Construction Machinery
HMT,HMT Limited,Industrials,Farm & Heavy Construction Machinery
BAJAJINDEF,Indef Manufacturing Limited,Industrials,Farm & Heavy Construction Machinery
INDOFARM,Indo Farm Equipment Limited,Industrials,Farm & Heavy Construction Machinery
MAHEPC,Mahindra EPC Irrigation Limited,Industrials,Farm & Heavy Construction Machinery
OLECTRA,Olectra Greentech Limited,Industrials,Farm & Heavy Construction Machinery
RVTH,Revathi Equipment India Limited,Industrials,Farm & Heavy Construction Machinery
SEMAC,Semac Construction Limited,Industrials,Farm & Heavy Construction Machinery
TIL,TIL Limited,Industrials,Farm & Heavy Construction Machinery
TARACHAND,Tara Chand InfraLogistic Solutions Limited,Industrials,Farm & Heavy Construction Machinery
UNIPARTS,Uniparts India Limited,Industrials,Farm & Heavy Construction Machinery
VSTTILLERS,V.S.T Tillers Tractors Limited,Industrials,Farm & Heavy Construction Machinery
