Symbol,Company Name,Sector,Industry
AGRITECH,Agri-Tech (India) Limited,Consumer Defensive,Farm Products
APEX,Apex Frozen Foods Limited,Consumer Defensive,Farm Products
ASPINWALL,Aspinwall and Company Limited,Consumer Defensive,Farm Products
DBOL,Dhampur Bio Organics Limited,Consumer Defensive,Farm Products
GILLANDERS,Gillanders Arbuthnot & Company Limited,Consumer Defensive,Farm Products
HARRMALAYA,Harrisons  Malayalam Limited,Consumer Defensive,Farm Products
JAYSREETEA,Jayshree Tea & Industries Limited,Consumer Defensive,Farm Products
MGEL,Mangalam Global Enterprise Limited,Consumer Defensive,Farm Products
NORBTEAEXP,Norben Tea & Exports Limited,Consumer Defensive,Farm Products
SAKUMA,Sakuma Exports Limited,Consumer Defensive,Farm Products
SANWARIA,Sanwaria Consumer Limited,Consumer Defensive,Farm Products
SHANTI,Shanti Overseas (India) Limited,Consumer Defensive,Farm Products
GROBTEA,The Grob Tea Company Limited,Consumer Defensive,Farm Products
PKTEA,The Peria Karamalai Tea & Produce Company Limited,Consumer Defensive,Farm Products
UNITEDTEA,The United Nilgiri Tea Estates Company Limited,Consumer Defensive,Farm Products
UMAEXPORTS,Uma Exports Limited,Consumer Defensive,Farm Products
VENKEYS,Venky's (India) Limited,Consumer Defensive,Farm Products
VIKASLIFE,Vikas Lifecare Limited,Consumer Defensive,Farm Products
