Symbol,Company Name,Sector,Industry
AKI,AKI India Limited,Consumer Cyclical,Footwear & Accessories
BANARBEADS,Banaras Beads Limited,Consumer Cyclical,Footwear & Accessories
BATAINDIA,Bata India Limited,Consumer Cyclical,Footwear & Accessories
BIL,Bhartiya International Limited,Consumer Cyclical,Footwear & Accessories
BCONCEPTS,Brand Concepts Limited,Consumer Cyclical,Footwear & Accessories
CAMPUS,Campus Activewear Limited,Consumer Cyclical,Footwear & Accessories
KHADIM,Khadim India Limited,Consumer Cyclical,Footwear & Accessories
LIBERTSHOE,Liberty Shoes Limited,Consumer Cyclical,Footwear & Accessories
MIRZAINT,Mirza International Limited,Consumer Cyclical,Footwear & Accessories
REDTAPE,Redtape Limited,Consumer Cyclical,Footwear & Accessories
RELAXO,Relaxo Footwears Limited,Consumer Cyclical,Footwear & Accessories
SAFARI,Safari Industries (India) Limited,Consumer Cyclical,Footwear & Accessories
SREEL,Sreeleathers Limited,Consumer Cyclical,Footwear & Accessories
SUPERHOUSE,Superhouse Limited,Consumer Cyclical,Footwear & Accessories
VIPIND,VIP Industries Limited,Consumer Cyclical,Footwear & Accessories
