Symbol,Company Name,Sector,Industry
AVROIND,AVRO INDIA LIMITED,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
AIROLAM,Airo Lam limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
AMBER,Amber Enterprises India Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
ADL,Archidply Decor Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
BAJAJELEC,Bajaj Electricals Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
BOROLTD,Borosil Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
CARYSIL,CARYSIL LIMITED,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
CELLO,Cello World Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
CROMPTON,Crompton Greaves Consumer Electricals Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
EPACK,EPACK Durable Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
EUREKAFORB,Eureka Forbes Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
FOCUS,Focus Lighting and Fixtures Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
GREENLAM,Greenlam Industries Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
HINDWAREAP,Hindware Home Innovation Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
IFBIND,IFB Industries Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
KHAITANLTD,Khaitan (India) Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
LAOPALA,La Opala RG Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
MIRCELECTR,MIRC Electronics Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
NILKAMAL,Nilkamal Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
ORIENTELEC,Orient Electric Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
PILITA,PIL ITALICA LIFESTYLE LIMITED,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
PRITI,Priti International Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
RUSHIL,Rushil Decor Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
SONAMLTD,SONAM LIMITED,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
SFL,Sheela Foam Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
STANLEY,Stanley Lifestyles Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
STOVEKRAFT,Stove Kraft Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
STYLAMIND,Stylam Industries Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
SYMPHONY,Symphony Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
TTKPRESTIG,TTK Prestige Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
VOLTAS,Voltas Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
WHIRLPOOL,Whirlpool of India Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
WEL,Wonder Electricals Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
