Symbol,Company Name,Sector,Industry
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,Consumer Defensive,Household & Personal Products
BAJAJCON,Bajaj Consumer Care Limited,Consumer Defensive,Household & Personal Products
COLPAL,Colgate Palmolive (India) Limited,Consumer Defensive,Household & Personal Products
CUPID,Cupid Limited,Consumer Defensive,Household & Personal Products
DABUR,Dabur India Limited,Consumer Defensive,Household & Personal Products
EMAMILTD,Emami Limited,Consumer Defensive,Household & Personal Products
GILLETTE,Gillette India Limited,Consumer Defensive,Household & Personal Products
GODREJCP,Godrej Consumer Products Limited,Consumer Defensive,Household & Personal Products
HINDUNILVR,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products
HONASA,Honasa Consumer Limited,Consumer Defensive,Household & Personal Products
JHS,JHS Svendgaard Laboratories Limited,Consumer Defensive,Household & Personal Products
JYOTHYLAB,Jyothy Labs Limited,Consumer Defensive,Household & Personal Products
KAYA,Kaya Limited,Consumer Defensive,Household & Personal Products
MARICO,Marico Limited,Consumer Defensive,Household & Personal Products
NKIND,NK Industries Limited,Consumer Defensive,Household & Personal Products
PGHH,Procter & Gamble Hygiene and Health Care Limited,Consumer Defensive,Household & Personal Products
