Symbol,Company Name,Sector,Industry
3IINFOLTD,3i Infotech Limited,Technology,Information Technology Services
AAATECH,AAA Technologies Limited,Technology,Information Technology Services
GOLDTECH,AION-TECH SOLUTIONS LIMITED,Technology,Information Technology Services
ACCELYA,Accelya Solutions India Limited,Technology,Information Technology Services
ADROITINFO,Adroit Infotech Limited,Technology,Information Technology Services
AIRAN,Airan Limited,Technology,Information Technology Services
ALANKIT,Alankit Limited,Technology,Information Technology Services
ADSL,Allied Digital Services Limited,Technology,Information Technology Services
BSOFT,BIRLASOFT LIMITED,Technology,Information Technology Services
ASMS,Bartronics India Limited,Technology,Information Technology Services
CTE,Cambridge Technology Enterprises Limited,Technology,Information Technology Services
CIGNITITEC,Cigniti Technologies Limited,Technology,Information Technology Services
COFORGE,Coforge Limited,Technology,Information Technology Services
CAMS,Computer Age Management Services Limited,Technology,Information Technology Services
CYBERTECH,Cybertech Systems And Software Limited,Technology,Information Technology Services
DRCSYSTEMS,DRC Systems India Limited,Technology,Information Technology Services
DATAMATICS,Datamatics Global Services Limited,Technology,Information Technology Services
DEVIT,Dev Information Technology Limited,Technology,Information Technology Services
DIGISPICE,DiGiSPICE Technologies Limited,Technology,Information Technology Services
DSSL,Dynacons Systems & Solutions Limited,Technology,Information Technology Services
EXPLEOSOL,Expleo Solutions Limited,Technology,Information Technology Services
FCSSOFT,FCS Software Solutions Limited,Technology,Information Technology Services
FSL,Firstsource Solutions Limited,Technology,Information Technology Services
GSS,GSS Infotech Limited,Technology,Information Technology Services
GVPTECH,GVP Infotech Limited,Technology,Information Technology Services
HCLTECH,HCL Technologies Limited,Technology,Information Technology Services
HOVS,HOV Services Limited,Technology,Information Technology Services
HAPPSTMNDS,Happiest Minds Technologies Limited,Technology,Information Technology Services
HEXT,Hexaware Technologies Limited,Technology,Information Technology Services
INFY,Infosys Limited,Technology,Information Technology Services
INSPIRISYS,Inspirisys Solutions Limited,Technology,Information Technology Services
LTTS,L&T Technology Services Limited,Technology,Information Technology Services
LTIM,LTIMindtree Limited,Technology,Information Technology Services
MCLOUD,Magellanic Cloud Limited,Technology,Information Technology Services
MASTEK,Mastek Limited,Technology,Information Technology Services
MINDTECK,Mindteck (India) Limited,Technology,Information Technology Services
MPHASIS,MphasiS Limited,Technology,Information Technology Services
NINSYS,NINtec Systems Limited,Technology,Information Technology Services
ONWARDTEC,Onward Technologies Limited,Technology,Information Technology Services
ORIENTTECH,Orient Technologies Limited,Technology,Information Technology Services
PERSISTENT,Persistent Systems Limited,Technology,Information Technology Services
PROTEAN,Protean eGov Technologies Limited,Technology,Information Technology Services
RSYSTEMS,R Systems International Limited,Technology,Information Technology Services
RSSOFTWARE,R. S. Software (India) Limited,Technology,Information Technology Services
RPSGVENT,RPSG VENTURES LIMITED,Technology,Information Technology Services
REDINGTON,Redington Limited,Technology,Information Technology Services
RELIABLE,Reliable Data Services Limited,Technology,Information Technology Services
ROLTA,Rolta India Limited,Technology,Information Technology Services
SAKSOFT,Saksoft Limited,Technology,Information Technology Services
SASKEN,Sasken Technologies Limited,Technology,Information Technology Services
SIGMA,Sigma Solve Limited,Technology,Information Technology Services
SILVERTUC,Silver Touch Technologies Limited,Technology,Information Technology Services
SONATSOFTW,Sonata Software Limited,Technology,Information Technology Services
SUVIDHAA,Suvidhaa Infoserve Limited,Technology,Information Technology Services
TCS,Tata Consultancy Services Limited,Technology,Information Technology Services
TATATECH,Tata Technologies Limited,Technology,Information Technology Services
TECHM,Tech Mahindra Limited,Technology,Information Technology Services
TERASOFT,Tera Software Limited,Technology,Information Technology Services
TRIGYN,Trigyn Technologies Limited,Technology,Information Technology Services
VAKRANGEE,Vakrangee Limited,Technology,Information Technology Services
WEWIN,WE WIN LIMITED,Technology,Information Technology Services
WIPRO,Wipro Limited,Technology,Information Technology Services
XCHANGING,Xchanging Solutions Limited,Technology,Information Technology Services
XELPMOC,Xelpmoc Design And Tech Limited,Technology,Information Technology Services
ZENSARTECH,Zensar Technologies Limited,Technology,Information Technology Services
ECLERX,eClerx Services Limited,Technology,Information Technology Services
