Symbol,Company Name,Sector,Industry
AVG,AVG Logistics Limited,Industrials,Integrated Freight & Logistics
ACCURACY,Accuracy Shipping Limited,Industrials,Integrated Freight & Logistics
ACLGATI,Allcargo Gati Limited,Industrials,Integrated Freight & Logistics
ALLCARGO,Allcargo Logistics Limited,Industrials,Integrated Freight & Logistics
ATL,Allcargo Terminals Limited,Industrials,Integrated Freight & Logistics
BLUEDART,Blue Dart Express Limited,Industrials,Integrated Freight & Logistics
DELHIVERY,Delhivery Limited,Industrials,Integrated Freight & Logistics
GATEWAY,Gateway Distriparks Limited,Industrials,Integrated Freight & Logistics
JETFREIGHT,Jet Freight Logistics Limited,Industrials,Integrated Freight & Logistics
MAHESHWARI,Maheshwari Logistics Limited,Industrials,Integrated Freight & Logistics
MAHLOG,Mahindra Logistics Limited,Industrials,Integrated Freight & Logistics
NAVKARCORP,Navkar Corporation Limited,Industrials,Integrated Freight & Logistics
PATINTLOG,Patel Integrated Logistics Limited,Industrials,Integrated Freight & Logistics
RITCO,Ritco Logistics Limited,Industrials,Integrated Freight & Logistics
SICALLOG,Sical Logistics Limited,Industrials,Integrated Freight & Logistics
SNOWMAN,Snowman Logistics Limited,Industrials,Integrated Freight & Logistics
TCIEXP,TCI Express Limited,Industrials,Integrated Freight & Logistics
TVSSCS,TVS Supply Chain Solutions Limited,Industrials,Integrated Freight & Logistics
TOTAL,Total Transport Systems Limited,Industrials,Integrated Freight & Logistics
TCI,Transport Corporation of India Limited,Industrials,Integrated Freight & Logistics
VLEGOV,VL E-Governance & IT Solutions Limited,Industrials,Integrated Freight & Logistics
WCIL,Western Carriers (India) Limited,Industrials,Integrated Freight & Logistics
