Symbol,Company Name,Sector,Industry
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Consumer Cyclical,Lodging
PARKHOTELS,Apeejay Surrendra Park Hotels Limited,Consumer Cyclical,Lodging
AHLEAST,Asian Hotels (East) Limited,Consumer Cyclical,Lodging
ASIANHOTNR,Asian Hotels (North) Limited,Consumer Cyclical,Lodging
BLUECOAST,Blue Coast Hotels Limited,Consumer Cyclical,Lodging
BRIGHOTEL,Brigade Hotel Ventures Limited,Consumer Cyclical,Lodging
CHALET,Chalet Hotels Limited,Consumer Cyclical,Lodging
CCHHL,Country Club Hospitality & Holidays Limited,Consumer Cyclical,Lodging
EIHAHOTELS,EIH Associated Hotels Limited,Consumer Cyclical,Lodging
EIHOTEL,EIH Limited,Consumer Cyclical,Lodging
HLVLTD,HLV LIMITED,Consumer Cyclical,Lodging
ITDC,India Tourism Development Corporation Limited,Consumer Cyclical,Lodging
JUNIPER,Juniper Hotels Limited,Consumer Cyclical,Lodging
KAMATHOTEL,Kamat Hotels (I) Limited,Consumer Cyclical,Lodging
LEMONTREE,Lemon Tree Hotels Limited,Consumer Cyclical,Lodging
ORIENTHOT,Oriental Hotels Limited,Consumer Cyclical,Lodging
RHL,Robust Hotels Limited,Consumer Cyclical,Lodging
ROHLTD,Royal Orchid Hotels Limited,Consumer Cyclical,Lodging
SAMHI,Samhi Hotels Limited,Consumer Cyclical,Lodging
THELEELA,Schloss Bangalore Limited,Consumer Cyclical,Lodging
SINCLAIR,Sinclairs Hotels Limited,Consumer Cyclical,Lodging
HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,Consumer Cyclical,Lodging
TGBHOTELS,TGB Banquets And Hotels Limited,Consumer Cyclical,Lodging
TAJGVK,Taj GVK Hotels & Resorts Limited,Consumer Cyclical,Lodging
BYKE,The Byke Hospitality Ltd,Consumer Cyclical,Lodging
INDHOTEL,The Indian Hotels Company Limited,Consumer Cyclical,Lodging
VENTIVE,Ventive Hospitality Limited,Consumer Cyclical,Lodging
VHLTD,Viceroy Hotels Limited,Consumer Cyclical,Lodging
