Symbol,Company Name,Sector,Industry
DPABHUSHAN,D. P. Abhushan Limited,Consumer Cyclical,Luxury Goods
ETHOSLTD,Ethos Limited,Consumer Cyclical,Luxury Goods
GOENKA,Goenka Diamond and Jewels Limited,Consumer Cyclical,Luxury Goods
GOLDIAM,Goldiam International Limited,Consumer Cyclical,Luxury Goods
KDDL,KDDL Limited,Consumer Cyclical,Luxury Goods
KALYANKJIL,Kalyan Jewellers India Limited,Consumer Cyclical,Luxury Goods
KANANIIND,Kanani Industries Limited,Consumer Cyclical,Luxury Goods
LGHL,Laxmi Goldorna House Limited,Consumer Cyclical,Luxury Goods
LYPSAGEMS,Lypsa Gems & Jewellery Limited,Consumer Cyclical,Luxury Goods
MVGJL,Manoj Vaibhav Gems N Jewellers Limited,Consumer Cyclical,Luxury Goods
MOKSH,Moksh Ornaments Limited,Consumer Cyclical,Luxury Goods
MOTISONS,Motisons Jewellers Limited,Consumer Cyclical,Luxury Goods
PNGJL,P N Gadgil Jewellers Limited,Consumer Cyclical,Luxury Goods
PCJEWELLER,PC Jeweller Limited,Consumer Cyclical,Luxury Goods
RBZJEWEL,RBZ Jewellers Limited,Consumer Cyclical,Luxury Goods
RADHIKAJWE,Radhika Jeweltech Limited,Consumer Cyclical,Luxury Goods
RAJESHEXPO,Rajesh Exports Limited,Consumer Cyclical,Luxury Goods
RGL,Renaissance Global Limited,Consumer Cyclical,Luxury Goods
SKYGOLD,SKY GOLD AND DIAMONDS LIMITED,Consumer Cyclical,Luxury Goods
SENCO,Senco Gold Limited,Consumer Cyclical,Luxury Goods
SHANTIGOLD,Shanti Gold International Limited,Consumer Cyclical,Luxury Goods
SILGO,Silgo Retail Limited,Consumer Cyclical,Luxury Goods
THANGAMAYL,Thangamayil Jewellery Limited,Consumer Cyclical,Luxury Goods
TITAN,Titan Company Limited,Consumer Cyclical,Luxury Goods
TBZ,Tribhovandas Bhimji Zaveri Limited,Consumer Cyclical,Luxury Goods
VAIBHAVGBL,Vaibhav Global Limited,Consumer Cyclical,Luxury Goods
