Symbol,Company Name,Sector,Industry
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,Marine Shipping
ESSARSHPNG,Essar Shipping Limited,Industrials,Marine Shipping
GPPL,Gujarat Pipavav Port Limited,Industrials,Marine Shipping
JSWINFRA,JSW Infrastructure Limited,Industrials,Marine Shipping
KMEW,Knowledge Marine & Engineering Works Limited,Industrials,Marine Shipping
MARINE,Marine Electricals (India) Limited,Industrials,Marine Shipping
SEAMECLTD,Seamec Limited,Industrials,Marine Shipping
SCI,Shipping Corporation Of India Limited,Industrials,Marine Shipping
TRANSWORLD,TRANSWORLD SHIPPING LINES LIMITED,Industrials,Marine Shipping
GESHIP,The Great Eastern Shipping Company Limited,Industrials,Marine Shipping
