Symbol,Company Name,Sector,Industry
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Healthcare,Medical Care Facilities
ASTERDM,Aster DM Healthcare Limited,Healthcare,Medical Care Facilities
FORTIS,Fortis Healthcare Limited,Healthcare,Medical Care Facilities
GPTHEALTH,GPT Healthcare Limited,Healthcare,Medical Care Facilities
MEDANTA,Global Health Limited,Healthcare,Medical Care Facilities
HCG,Healthcare Global Enterprises Limited,Healthcare,Medical Care Facilities
INDRAMEDCO,Indraprastha Medical Corporation Limited,Healthcare,Medical Care Facilities
JLHL,Jupiter Life Line Hospitals Limited,Healthcare,Medical Care Facilities
KIMS,Krishna Institute of Medical Sciences Limited,Healthcare,Medical Care Facilities
LOTUSEYE,Lotus Eye Hospital and Institute Limited,Healthcare,Medical Care Facilities
MAXHEALTH,Max Healthcare Institute Limited,Healthcare,Medical Care Facilities
MAXIND,Max India Limited,Healthcare,Medical Care Facilities
NH,Narayana Hrudayalaya Ltd.,Healthcare,Medical Care Facilities
RAINBOW,Rainbow Childrens Medicare Limited,Healthcare,Medical Care Facilities
SHALBY,Shalby Limited,Healthcare,Medical Care Facilities
YATHARTH,Yatharth Hospital & Trauma Care Services Limited,Healthcare,Medical Care Facilities
