Symbol,Company Name,Sector,Industry
AEROFLEX,Aeroflex Industries Limited,Industrials,Metal Fabrication
ALICON,Alicon Castalloy Limited,Industrials,Metal Fabrication
BALUFORGE,Balu Forge Industries Limited,Industrials,Metal Fabrication
DPWIRES,D P Wires Limited,Industrials,Metal Fabrication
DCM,DCM  Limited,Industrials,Metal Fabrication
DEEDEV,DEE Development Engineers Limited,Industrials,Metal Fabrication
GANDHITUBE,Gandhi Special Tubes Limited,Industrials,Metal Fabrication
GANGAFORGE,Ganga Forging Limited,Industrials,Metal Fabrication
GRAVITA,Gravita India Limited,Industrials,Metal Fabrication
HAPPYFORGE,Happy Forgings Limited,Industrials,Metal Fabrication
HILTON,Hilton Metal Forging Limited,Industrials,Metal Fabrication
KIRLOSIND,Kirloskar Industries Limited,Industrials,Metal Fabrication
MMFL,MM Forgings Limited,Industrials,Metal Fabrication
MANAKCOAT,Manaksia Coated Metals & Industries Limited,Industrials,Metal Fabrication
MANAKSIA,Manaksia Limited,Industrials,Metal Fabrication
NELCAST,Nelcast Limited,Industrials,Metal Fabrication
PTCIL,PTC Industries Limited,Industrials,Metal Fabrication
PITTIENG,Pitti Engineering Limited,Industrials,Metal Fabrication
RHIM,RHI MAGNESITA INDIA LIMITED,Industrials,Metal Fabrication
RKFORGE,Ramkrishna Forgings Limited,Industrials,Metal Fabrication
ROLEXRINGS,Rolex Rings Limited,Industrials,Metal Fabrication
SMLT,Sarthak Metals Limited,Industrials,Metal Fabrication
SBCL,Shivalik Bimetal Controls Limited,Industrials,Metal Fabrication
SUNCLAY,Sundaram Clayton Limited,Industrials,Metal Fabrication
SGIL,Synergy Green Industries Limited,Industrials,Metal Fabrication
TEMBO,Tembo Global Industries Limited,Industrials,Metal Fabrication
TIRUPATIFL,Tirupati Forge Limited,Industrials,Metal Fabrication
