Symbol,Company Name,Sector,Industry
AAKASH,Aakash Exploration Services Limited,Energy,Oil & Gas Equipment & Services
AEGISVOPAK,Aegis Vopak Terminals Limited,Energy,Oil & Gas Equipment & Services
ALPHAGEO,Alphageo (India) Limited,Energy,Oil & Gas Equipment & Services
ASIANENE,Asian Energy Services Limited,Energy,Oil & Gas Equipment & Services
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,Energy,Oil & Gas Equipment & Services
JINDRILL,Jindal Drilling And Industries Limited,Energy,Oil & Gas Equipment & Services
LIKHITHA,Likhitha Infrastructure Limited,Energy,Oil & Gas Equipment & Services
OILCOUNTUB,Oil Country Tubular Limited,Energy,Oil & Gas Equipment & Services
SOUTHWEST,South West Pinnacle Exploration Limited,Energy,Oil & Gas Equipment & Services
UNIDT,United Drilling Tools Limited,Energy,Oil & Gas Equipment & Services
