Symbol,Company Name,Sector,Industry
AEGISLOG,Aegis Logistics Limited,Energy,Oil & Gas Refining & Marketing
BPCL,Bharat Petroleum Corporation Limited,Energy,Oil & Gas Refining & Marketing
CASTROLIND,Castrol India Limited,Energy,Oil & Gas Refining & Marketing
CHENNPETRO,Chennai Petroleum Corporation Limited,Energy,Oil & Gas Refining & Marketing
CONFIPET,Confidence Petroleum India Limited,Energy,Oil & Gas Refining & Marketing
GULFPETRO,GP Petroleums Limited,Energy,Oil & Gas Refining & Marketing
GANDHAR,Gandhar Oil Refinery (India) Limited,Energy,Oil & Gas Refining & Marketing
HINDPETRO,Hindustan Petroleum Corporation Limited,Energy,Oil & Gas Refining & Marketing
IOC,Indian Oil Corporation Limited,Energy,Oil & Gas Refining & Marketing
MRPL,Mangalore Refinery and Petrochemicals Limited,Energy,Oil & Gas Refining & Marketing
PANAMAPET,Panama Petrochem Limited,Energy,Oil & Gas Refining & Marketing
PETRONET,Petronet LNG Limited,Energy,Oil & Gas Refining & Marketing
RELIANCE,Reliance Industries Limited,Energy,Oil & Gas Refining & Marketing
