Symbol,Company Name,Sector,Industry
20MICRONS,20 Microns Limited,Basic Materials,Other Industrial Metals & Mining
ASHAPURMIN,Ashapura Minechem Limited,Basic Materials,Other Industrial Metals & Mining
HINDZINC,Hindustan Zinc Limited,Basic Materials,Other Industrial Metals & Mining
IMPEXFERRO,Impex Ferro Tech Limited,Basic Materials,Other Industrial Metals & Mining
IMFA,Indian Metals & Ferro Alloys Limited,Basic Materials,Other Industrial Metals & Mining
JGCHEM,J.G.Chemicals Limited,Basic Materials,Other Industrial Metals & Mining
MOIL,MOIL Limited,Basic Materials,Other Industrial Metals & Mining
ARENTERP,Rajdarshan Industries Limited,Basic Materials,Other Industrial Metals & Mining
ORISSAMINE,The Orissa Minerals Development Company Limited,Basic Materials,Other Industrial Metals & Mining
VEDL,Vedanta Limited,Basic Materials,Other Industrial Metals & Mining
