Symbol,Company Name,Sector,Industry
ADFFOODS,ADF Foods Limited,Consumer Defensive,Packaged Foods
AWL,AWL Agri Business Limited,Consumer Defensive,Packaged Foods
AJOONI,Ajooni Biotech Limited,Consumer Defensive,Packaged Foods
AVANTIFEED,Avanti Feeds Limited,Consumer Defensive,Packaged Foods
BIKAJI,Bikaji Foods International Limited,Consumer Defensive,Packaged Foods
BBTC,Bombay Burmah Trading Corporation Limited,Consumer Defensive,Packaged Foods
BRITANNIA,Britannia Industries Limited,Consumer Defensive,Packaged Foods
CCL,CCL Products (India) Limited,Consumer Defensive,Packaged Foods
CLSEL,Chaman Lal Setia Exports Limited,Consumer Defensive,Packaged Foods
COASTCORP,Coastal Corporation Limited,Consumer Defensive,Packaged Foods
DTIL,Dhunseri Tea & Industries Limited,Consumer Defensive,Packaged Foods
EIFFL,Euro India Fresh Foods Limited,Consumer Defensive,Packaged Foods
FOODSIN,Foods & Inns Limited,Consumer Defensive,Packaged Foods
GRMOVER,GRM Overseas Limited,Consumer Defensive,Packaged Foods
GANGESSECU,Ganges Securities Limited,Consumer Defensive,Packaged Foods
GODREJAGRO,Godrej Agrovet Limited,Consumer Defensive,Packaged Foods
GOKULAGRO,Gokul Agro Resources Limited,Consumer Defensive,Packaged Foods
GOKUL,Gokul Refoils and Solvent Limited,Consumer Defensive,Packaged Foods
GOPAL,Gopal Snacks Limited,Consumer Defensive,Packaged Foods
GAEL,Gujarat Ambuja Exports Limited,Consumer Defensive,Packaged Foods
HMAAGRO,HMA Agro Industries Limited,Consumer Defensive,Packaged Foods
HATSUN,Hatsun Agro Product Limited,Consumer Defensive,Packaged Foods
HERITGFOOD,Heritage Foods Limited,Consumer Defensive,Packaged Foods
KRBL,KRBL Limited,Consumer Defensive,Packaged Foods
KOHINOOR,Kohinoor Foods Limited,Consumer Defensive,Packaged Foods
KRISHIVAL,Krishival Foods Limited,Consumer Defensive,Packaged Foods
KRITINUT,Kriti Nutrients Limited,Consumer Defensive,Packaged Foods
LTFOODS,LT Foods Limited,Consumer Defensive,Packaged Foods
MKPL,M K Proteins Limited,Consumer Defensive,Packaged Foods
MANORAMA,Manorama Industries Limited,Consumer Defensive,Packaged Foods
MCLEODRUSS,Mcleod Russel India Limited,Consumer Defensive,Packaged Foods
MEGASTAR,Megastar Foods Limited,Consumer Defensive,Packaged Foods
BECTORFOOD,Mrs. Bectors Food Specialities Limited,Consumer Defensive,Packaged Foods
MUKKA,Mukka Proteins Limited,Consumer Defensive,Packaged Foods
NGIL,Nakoda Group of Industries Limited,Consumer Defensive,Packaged Foods
NESTLEIND,Nestle India Limited,Consumer Defensive,Packaged Foods
PALASHSECU,Palash Securities Limited,Consumer Defensive,Packaged Foods
PARAGMILK,Parag Milk Foods Limited,Consumer Defensive,Packaged Foods
PATANJALI,Patanjali Foods Limited,Consumer Defensive,Packaged Foods
DIAMONDYD,Prataap Snacks Limited,Consumer Defensive,Packaged Foods
ROML,Raj Oil Mills Limited,Consumer Defensive,Packaged Foods
SKMEGGPROD,SKM Egg Products Export (India) Limited,Consumer Defensive,Packaged Foods
SARVESHWAR,Sarveshwar Foods Limited,Consumer Defensive,Packaged Foods
SCPL,Sheetal Cool Products Limited,Consumer Defensive,Packaged Foods
SUNDROP,Sundrop Brands Limited,Consumer Defensive,Packaged Foods
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,Consumer Defensive,Packaged Foods
TASTYBITE,Tasty Bite Eatables Limited,Consumer Defensive,Packaged Foods
VADILALIND,Vadilal Industries Limited,Consumer Defensive,Packaged Foods
ZYDUSWELL,Zydus Wellness Limited,Consumer Defensive,Packaged Foods
