Symbol,Company Name,Sector,Industry
AGI,AGI Greenpac Limited,Consumer Cyclical,Packaging & Containers
AMDIND,AMD Industries Limited,Consumer Cyclical,Packaging & Containers
ANTGRAPHIC,Antarctica Limited,Consumer Cyclical,Packaging & Containers
ARROWGREEN,Arrow Greentech Limited,Consumer Cyclical,Packaging & Containers
BBTCL,B&B Triplewall Containers Limited,Consumer Cyclical,Packaging & Containers
BALKRISHNA,Balkrishna Paper Mills Limited,Consumer Cyclical,Packaging & Containers
BOROSCI,Borosil Scientific Limited,Consumer Cyclical,Packaging & Containers
COSMOFIRST,COSMO FIRST LIMITED,Consumer Cyclical,Packaging & Containers
COMSYN,Commercial Syn Bags Limited,Consumer Cyclical,Packaging & Containers
EPL,EPL Limited,Consumer Cyclical,Packaging & Containers
EMMBI,Emmbi Industries Limited,Consumer Cyclical,Packaging & Containers
HINDNATGLS,Hindusthan National Glass & Industries Limited,Consumer Cyclical,Packaging & Containers
HITECHCORP,Hitech Corporation Limited,Consumer Cyclical,Packaging & Containers
HUHTAMAKI,Huhtamaki India Limited,Consumer Cyclical,Packaging & Containers
JINDALPOLY,Jindal Poly Films Limited,Consumer Cyclical,Packaging & Containers
KANPRPLA,Kanpur Plastipack Limited,Consumer Cyclical,Packaging & Containers
MOLDTKPAC,Mold-Tek Packaging Limited,Consumer Cyclical,Packaging & Containers
NAHARPOLY,Nahar Poly Films Limited,Consumer Cyclical,Packaging & Containers
ORICONENT,Oricon Enterprises Limited,Consumer Cyclical,Packaging & Containers
ORIENTLTD,Orient Press Limited,Consumer Cyclical,Packaging & Containers
PEARLPOLY,Pearl Polymers Limited,Consumer Cyclical,Packaging & Containers
PYRAMID,Pyramid Technoplast Limited,Consumer Cyclical,Packaging & Containers
RPPL,Rajshree Polypack Limited,Consumer Cyclical,Packaging & Containers
SAH,Sah Polymers Limited,Consumer Cyclical,Packaging & Containers
SHREERAMA,Shree Rama Multi-Tech Limited,Consumer Cyclical,Packaging & Containers
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,Consumer Cyclical,Packaging & Containers
TCPLPACK,TCPL Packaging Limited,Consumer Cyclical,Packaging & Containers
TPLPLASTEH,TPL Plastech Limited,Consumer Cyclical,Packaging & Containers
TIMETECHNO,Time Technoplast Limited,Consumer Cyclical,Packaging & Containers
TOKYOPLAST,Tokyo Plast International Limited,Consumer Cyclical,Packaging & Containers
UFLEX,UFLEX Limited,Consumer Cyclical,Packaging & Containers
WORTH,Worth Peripherals Limited,Consumer Cyclical,Packaging & Containers
