Symbol,Company Name,Sector,Industry
ANDHRAPAP,ANDHRA PAPER LIMITED,Basic Materials,Paper & Paper Products
ABREL,Aditya Birla Real Estate Limited,Basic Materials,Paper & Paper Products
ASTRON,Astron Paper & Board Mill Limited,Basic Materials,Paper & Paper Products
EMAMIPAP,Emami Paper Mills Limited,Basic Materials,Paper & Paper Products
GENUSPAPER,Genus Paper & Boards Limited,Basic Materials,Paper & Paper Products
JKPAPER,JK Paper Limited,Basic Materials,Paper & Paper Products
KUANTUM,Kuantum Papers Limited,Basic Materials,Paper & Paper Products
MAGNUM,Magnum Ventures Limited,Basic Materials,Paper & Paper Products
MALUPAPER,Malu Paper Mills Limited,Basic Materials,Paper & Paper Products
NRAIL,N R Agarwal Industries Limited,Basic Materials,Paper & Paper Products
ORIENTPPR,Orient Paper & Industries Limited,Basic Materials,Paper & Paper Products
PAKKA,PAKKA LIMITED,Basic Materials,Paper & Paper Products
PDMJEPAPER,Pudumjee Paper Products Limited,Basic Materials,Paper & Paper Products
RUCHIRA,Ruchira Papers Limited,Basic Materials,Paper & Paper Products
SATIA,Satia Industries Limited,Basic Materials,Paper & Paper Products
SESHAPAPER,Seshasayee Paper and Boards Limited,Basic Materials,Paper & Paper Products
SHRENIK,Shrenik Limited,Basic Materials,Paper & Paper Products
SHREYANIND,Shreyans Industries Limited,Basic Materials,Paper & Paper Products
STARPAPER,Star Paper Mills Limited,Basic Materials,Paper & Paper Products
SUNDARAM,Sundaram Multi Pap Limited,Basic Materials,Paper & Paper Products
TNPL,Tamil Nadu Newsprint & Papers Limited,Basic Materials,Paper & Paper Products
WSTCSTPAPR,West Coast Paper Mills Limited,Basic Materials,Paper & Paper Products
