Symbol,Company Name,Sector,Industry
CYBERMEDIA,Cyber Media (India) Limited,Communication Services,Publishing
DBCORP,D.B.Corp Limited,Communication Services,Publishing
DNAMEDIA,Diligent Media Corporation Limited,Communication Services,Publishing
HTMEDIA,HT Media Limited,Communication Services,Publishing
HMVL,Hindustan Media Ventures Limited,Communication Services,Publishing
JAGRAN,Jagran Prakashan Limited,Communication Services,Publishing
MPSLTD,MPS Limited,Communication Services,Publishing
NAVNETEDUL,Navneet Education Limited,Communication Services,Publishing
SCHAND,S Chand And Company Limited,Communication Services,Publishing
SABEVENTS,Sab Events & Governance Now Media Limited,Communication Services,Publishing
SAMBHAAV,Sambhaav Media Limited,Communication Services,Publishing
SANDESH,The Sandesh Limited,Communication Services,Publishing
