Symbol,Company Name,Sector,Industry
AGIIL,Agi Infra Limited,Real Estate,Real Estate - Development
AJMERA,Ajmera Realty & Infra India Limited,Real Estate,Real Estate - Development
ALEMBICLTD,Alembic Limited,Real Estate,Real Estate - Development
AMJLAND,Amj Land Holdings Limited,Real Estate,Real Estate - Development
ANANTRAJ,Anant Raj Limited,Real Estate,Real Estate - Development
ANSALAPI,Ansal Properties & Infrastructure Limited,Real Estate,Real Estate - Development
ARIHANTSUP,Arihant Superstructures Limited,Real Estate,Real Estate - Development
ARKADE,Arkade Developers Limited,Real Estate,Real Estate - Development
ARTNIRMAN,Art Nirman Limited,Real Estate,Real Estate - Development
ARVSMART,Arvind SmartSpaces Limited,Real Estate,Real Estate - Development
ASHIANA,Ashiana Housing Limited,Real Estate,Real Estate - Development
BRIGADE,Brigade Enterprises Limited,Real Estate,Real Estate - Development
COUNCODOS,Country Condo's Limited,Real Estate,Real Estate - Development
DHARAN,DHARAN INFRA-EPC LIMITED,Real Estate,Real Estate - Development
DLF,DLF Limited,Real Estate,Real Estate - Development
EMAMIREAL,Emami Realty Limited,Real Estate,Real Estate - Development
EUROTEXIND,Eurotex Industries and Exports Limited,Real Estate,Real Estate - Development
GANESHHOUC,Ganesh Housing Corporation Limited,Real Estate,Real Estate - Development
GEECEE,GeeCee Ventures Limited,Real Estate,Real Estate - Development
GODREJPROP,Godrej Properties Limited,Real Estate,Real Estate - Development
HUBTOWN,Hubtown Limited,Real Estate,Real Estate - Development
KALPATARU,Kalpataru Limited,Real Estate,Real Estate - Development
RUSTOMJEE,Keystone Realtors Limited,Real Estate,Real Estate - Development
KOLTEPATIL,Kolte - Patil Developers Limited,Real Estate,Real Estate - Development
LANCORHOL,Lancor Holdings Limited,Real Estate,Real Estate - Development
LODHA,Lodha Developers Limited,Real Estate,Real Estate - Development
MAHLIFE,Mahindra Lifespace Developers Limited,Real Estate,Real Estate - Development
MARATHON,Marathon Nextgen Realty Limited,Real Estate,Real Estate - Development
MAXESTATES,Max Estates Limited,Real Estate,Real Estate - Development
NILAINFRA,Nila Infrastructures Limited,Real Estate,Real Estate - Development
NILASPACES,Nila Spaces Limited,Real Estate,Real Estate - Development
OBEROIRLTY,Oberoi Realty Limited,Real Estate,Real Estate - Development
OMAXE,Omaxe Limited,Real Estate,Real Estate - Development
OSWALAGRO,Oswal Agro Mills Limited,Real Estate,Real Estate - Development
PANSARI,Pansari Developers Limited,Real Estate,Real Estate - Development
PARSVNATH,Parsvnath Developers Limited,Real Estate,Real Estate - Development
PENINLAND,Peninsula Land Limited,Real Estate,Real Estate - Development
PRAENG,Prajay Engineers Syndicate Limited,Real Estate,Real Estate - Development
PURVA,Puravankara Limited,Real Estate,Real Estate - Development
RVHL,Ravinder Heights Limited,Real Estate,Real Estate - Development
RAYMONDREL,Raymond Realty Limited,Real Estate,Real Estate - Development
SHRADHA,Shradha Infraprojects Limited,Real Estate,Real Estate - Development
SHRIRAMPPS,Shriram Properties Limited,Real Estate,Real Estate - Development
SIGNATURE,Signatureglobal (India) Limited,Real Estate,Real Estate - Development
SOBHA,Sobha Limited,Real Estate,Real Estate - Development
SUMIT,Sumit Woods Limited,Real Estate,Real Estate - Development
SUNTECK,Sunteck Realty Limited,Real Estate,Real Estate - Development
SUPREME,Supreme Holdings & Hospitality (India) Limited,Real Estate,Real Estate - Development
SURAJEST,Suraj Estate Developers Limited,Real Estate,Real Estate - Development
SBGLP,Suratwwala Business Group Limited,Real Estate,Real Estate - Development
TARC,TARC Limited,Real Estate,Real Estate - Development
UMIYA-MRO,UMIYA BUILDCON LIMITED,Real Estate,Real Estate - Development
DBREALTY,Valor Estate Limited,Real Estate,Real Estate - Development
