Symbol,Company Name,Sector,Industry
AURUM,Aurum PropTech Limited,Real Estate,Real Estate Services
CORALFINAC,Coral India Finance & Housing Limited,Real Estate,Real Estate Services
ELDEHSG,Eldeco Housing And Industries Limited,Real Estate,Real Estate Services
FMNL,Future Market Networks Limited,Real Estate,Real Estate Services
ICDSLTD,ICDS Limited,Real Estate,Real Estate Services
INDIQUBE,Indiqube Spaces Limited,Real Estate,Real Estate Services
LPDC,Landmark Property Development Company Limited,Real Estate,Real Estate Services
MODIRUBBER,Modi Rubber Limited,Real Estate,Real Estate Services
PTL,PTL Enterprises Limited,Real Estate,Real Estate Services
ROLLT,Rollatainers Limited,Real Estate,Real Estate Services
SCILAL,Shipping Corporation of India Land and Assets Limited,Real Estate,Real Estate Services
TEXINFRA,Texmaco Infrastructure & Holdings Limited,Real Estate,Real Estate Services
MOTOGENFIN,The Motor & General Finance Limited,Real Estate,Real Estate Services
TREL,Transindia Real Estate Limited,Real Estate,Real Estate Services
