Symbol,Company Name,Sector,Industry
BARBEQUE,Barbeque Nation Hospitality Limited,Consumer Cyclical,Restaurants
COFFEEDAY,Coffee Day Enterprises Limited,Consumer Cyclical,Restaurants
DANGEE,Dangee Dums Limited,Consumer Cyclical,Restaurants
DEVYANI,Devyani International Limited,Consumer Cyclical,Restaurants
JUBLFOOD,Jubilant Foodworks Limited,Consumer Cyclical,Restaurants
RBA,Restaurant Brands Asia Limited,Consumer Cyclical,Restaurants
SAPPHIRE,Sapphire Foods India Limited,Consumer Cyclical,Restaurants
SPECIALITY,Speciality Restaurants Limited,Consumer Cyclical,Restaurants
TRAVELFOOD,Travel Food Services Limited,Consumer Cyclical,Restaurants
WESTLIFE,WESTLIFE FOODWORLD LIMITED,Consumer Cyclical,Restaurants
