Symbol,Company Name,Sector,Industry
63MOONS,63 moons technologies limited,Technology,Software - Application
BBOX,Black Box Limited,Technology,Software - Application
CALSOFT,California Software Company Limited,Technology,Software - Application
CURAA,Cura Technologies Limited,Technology,Software - Application
GENESYS,Genesys International Corporation Limited,Technology,Software - Application
IZMO,IZMO Limited,Technology,Software - Application
INFOBEAN,InfoBeans Technologies Limited,Technology,Software - Application
INNOVANA,Innovana Thinklabs Limited,Technology,Software - Application
INTELLECT,Intellect Design Arena Limited,Technology,Software - Application
IRIS,Iris Business Services Limited,Technology,Software - Application
KELLTONTEC,Kellton Tech Solutions Limited,Technology,Software - Application
KERNEX,Kernex Microsystems (India) Limited,Technology,Software - Application
KFINTECH,Kfin Technologies Limited,Technology,Software - Application
KSOLVES,Ksolves India Limited,Technology,Software - Application
NPST,Network People Services Technologies Limited,Technology,Software - Application
NUCLEUS,Nucleus Software Exports Limited,Technology,Software - Application
ORCHASP,Orchasp Limited,Technology,Software - Application
QUICKHEAL,Quick Heal Technologies Limited,Technology,Software - Application
RAMCOSYS,Ramco Systems Limited,Technology,Software - Application
RATEGAIN,Rategain Travel Technologies Limited,Technology,Software - Application
SECURKLOUD,SECUREKLOUD TECHNOLOGIES LIMITED,Technology,Software - Application
SOFTTECH,Softtech Engineers Limited,Technology,Software - Application
SUBEXLTD,Subex Limited,Technology,Software - Application
TREJHARA,TREJHARA SOLUTIONS LIMITED,Technology,Software - Application
TANLA,Tanla Platforms Limited,Technology,Software - Application
TATAELXSI,Tata Elxsi Limited,Technology,Software - Application
TRACXN,Tracxn Technologies Limited,Technology,Software - Application
UNIECOM,Unicommerce Esolutions Limited,Technology,Software - Application
VIRINCHI,Virinchi Limited,Technology,Software - Application
XTGLOBAL,Xtglobal Infotech Limited,Technology,Software - Application
BLACKBUCK,Zinka Logistics Solutions Limited,Technology,Software - Application
EMUDHRA,eMudhra Limited,Technology,Software - Application
