Symbol,Company Name,Sector,Industry
AGSTRA,AGS Transact Technologies Limited,Technology,Software - Infrastructure
AURIONPRO,Aurionpro Solutions Limited,Technology,Software - Infrastructure
MAPMYINDIA,C.E. Info Systems Limited,Technology,Software - Infrastructure
E2E,E2E Networks Limited,Technology,Software - Infrastructure
INFIBEAM,Infibeam Avenues Limited,Technology,Software - Infrastructure
INTENTECH,Intense Technologies Limited,Technology,Software - Infrastructure
KPITTECH,KPIT Technologies Limited,Technology,Software - Infrastructure
NEWGEN,Newgen Software Technologies Limited,Technology,Software - Infrastructure
PAYTM,One 97 Communications Limited,Technology,Software - Infrastructure
MOBIKWIK,One Mobikwik Systems Limited,Technology,Software - Infrastructure
OFSS,Oracle Financial Services Software Limited,Technology,Software - Infrastructure
VERTOZ,Vertoz Limited,Technology,Software - Infrastructure
ZAGGLE,Zaggle Prepaid Ocean Services Limited,Technology,Software - Infrastructure
