Symbol,Company Name,Sector,Industry
BORORENEW,BOROSIL RENEWABLES LIMITED,Technology,Solar
WAAREEINDO,Indosolar Limited,Technology,Solar
PREMIERENE,Premier Energies Limited,Technology,Solar
RELTD,Ravindra Energy Limited,Technology,Solar
SWSOLAR,Sterling and Wilson Renewable Energy Limited,Technology,Solar
SURANASOL,Surana Solar Limited,Technology,Solar
SWELECTES,Swelect Energy Systems Limited,Technology,Solar
UEL,Ujaas Energy Limited,Technology,Solar
URJA,Urja Global Limited,Technology,Solar
WAAREEENER,Waaree Energies Limited,Technology,Solar
WEBELSOLAR,Websol Energy System Limited,Technology,Solar
