Symbol,Company Name,Sector,Industry
ALLDIGI,Alldigi Tech Limited,Industrials,Specialty Business Services
APOLSINHOT,Apollo Sindoori Hotels Limited,Industrials,Specialty Business Services
BLSE,BLS E-Services Limited,Industrials,Specialty Business Services
BLS,BLS International Services Limited,Industrials,Specialty Business Services
BLUSPRING,Bluspring Enterprises Limited,Industrials,Specialty Business Services
CMSINFO,CMS Info Systems Limited,Industrials,Specialty Business Services
DJML,DJ Mediaprint & Logistics Limited,Industrials,Specialty Business Services
DIGITIDE,Digitide Solutions Limited,Industrials,Specialty Business Services
GKWLIMITED,GKW Limited,Industrials,Specialty Business Services
HGS,Hinduja Global Solutions Limited,Industrials,Specialty Business Services
KAPSTON,Kapston Services Limited,Industrials,Specialty Business Services
KRYSTAL,Krystal Integrated Services Limited,Industrials,Specialty Business Services
ONEPOINT,One Point One Solutions Limited,Industrials,Specialty Business Services
PDSL,PDS Limited,Industrials,Specialty Business Services
RADIANTCMS,Radiant Cash Management Services Limited,Industrials,Specialty Business Services
REPRO,Repro India Limited,Industrials,Specialty Business Services
RUCHINFRA,Ruchi Infrastructure Limited,Industrials,Specialty Business Services
UDS,Updater Services Limited,Industrials,Specialty Business Services
