Symbol,Company Name,Sector,Industry
ABMINTLLTD,ABM International Limited,Basic Materials,Specialty Chemicals
AVTNPL,AVT Natural Products Limited,Basic Materials,Specialty Chemicals
AARTIIND,Aarti Industries Limited,Basic Materials,Specialty Chemicals
AARTISURF,Aarti Surfactants Limited,Basic Materials,Specialty Chemicals
ACUTAAS,Acutaas Chemicals Limited,Basic Materials,Specialty Chemicals
ADVENZYMES,Advanced Enzyme Technologies Limited,Basic Materials,Specialty Chemicals
AETHER,Aether Industries Limited,Basic Materials,Specialty Chemicals
AGARIND,Agarwal Industrial Corporation Limited,Basic Materials,Specialty Chemicals
AKSHARCHEM,AksharChem India Limited,Basic Materials,Specialty Chemicals
AKZOINDIA,Akzo Nobel India Limited,Basic Materials,Specialty Chemicals
ALKALI,Alkali Metals Limited,Basic Materials,Specialty Chemicals
ALKYLAMINE,Alkyl Amines Chemicals Limited,Basic Materials,Specialty Chemicals
ANURAS,Anupam Rasayan India Limited,Basic Materials,Specialty Chemicals
APCOTEXIND,Apcotex Industries Limited,Basic Materials,Specialty Chemicals
ARVEE,Arvee Laboratories (India) Limited,Basic Materials,Specialty Chemicals
ASAHISONG,Asahi Songwon Colors Limited,Basic Materials,Specialty Chemicals
ASIANPAINT,Asian Paints Limited,Basic Materials,Specialty Chemicals
ATUL,Atul Limited,Basic Materials,Specialty Chemicals
BASF,BASF India Limited,Basic Materials,Specialty Chemicals
BILVYAPAR,BIL VYAPAR LIMITED,Basic Materials,Specialty Chemicals
BALAMINES,Balaji Amines Limited,Basic Materials,Specialty Chemicals
BERGEPAINT,Berger Paints (I) Limited,Basic Materials,Specialty Chemicals
BHAGERIA,Bhageria Industries Limited,Basic Materials,Specialty Chemicals
BODALCHEM,Bodal Chemicals Limited,Basic Materials,Specialty Chemicals
CAMLINFINE,Camlin Fine Sciences Limited,Basic Materials,Specialty Chemicals
CHEMBONDCH,Chembond Chemicals Limited,Basic Materials,Specialty Chemicals
CHEMBOND,Chembond Material Technologies Limited,Basic Materials,Specialty Chemicals
CHEMCON,Chemcon Speciality Chemicals Limited,Basic Materials,Specialty Chemicals
CHEMFAB,Chemfab Alkalis Limited,Basic Materials,Specialty Chemicals
CLEAN,Clean Science and Technology Limited,Basic Materials,Specialty Chemicals
DICIND,DIC India Limited,Basic Materials,Specialty Chemicals
DDEVPLSTIK,Ddev Plastiks Industries Limited,Basic Materials,Specialty Chemicals
DYNPRO,Dynemic Products Limited,Basic Materials,Specialty Chemicals
ESTER,Ester Industries Limited,Basic Materials,Specialty Chemicals
EXCELINDUS,Excel Industries Limited,Basic Materials,Specialty Chemicals
FAIRCHEMOR,Fairchem Organics Limited,Basic Materials,Specialty Chemicals
FINEORG,Fine Organic Industries Limited,Basic Materials,Specialty Chemicals
FCL,Fineotex Chemical Limited,Basic Materials,Specialty Chemicals
GOCLCORP,GOCL Corporation Limited,Basic Materials,Specialty Chemicals
GALAXYSURF,Galaxy Surfactants Limited,Basic Materials,Specialty Chemicals
GANESHBE,Ganesh Benzoplast Limited,Basic Materials,Specialty Chemicals
GRWRHITECH,Garware Hi-Tech Films Limited,Basic Materials,Specialty Chemicals
GOACARBON,Goa Carbon Limited,Basic Materials,Specialty Chemicals
FLUOROCHEM,Gujarat Fluorochemicals Limited,Basic Materials,Specialty Chemicals
GULFOILLUB,Gulf Oil Lubricants India Limited,Basic Materials,Specialty Chemicals
HPAL,HP Adhesives Limited,Basic Materials,Specialty Chemicals
HEUBACHIND,Heubach Colorants India Limited,Basic Materials,Specialty Chemicals
HSCL,Himadri Speciality Chemical Limited,Basic Materials,Specialty Chemicals
HINDCON,Hindcon Chemicals Limited,Basic Materials,Specialty Chemicals
HPIL,Hindprakash Industries Limited,Basic Materials,Specialty Chemicals
IVP,IVP Limited,Basic Materials,Specialty Chemicals
INDIGOPNTS,Indigo Paints Limited,Basic Materials,Specialty Chemicals
JAICORPLTD,Jai Corp Limited,Basic Materials,Specialty Chemicals
JAYAGROGN,Jayant Agro Organics Limited,Basic Materials,Specialty Chemicals
JOCIL,Jocil Limited,Basic Materials,Specialty Chemicals
JUBLCPL,Jubilant Agri and Consumer Products Limited,Basic Materials,Specialty Chemicals
JUBLINGREA,Jubilant Ingrevia Limited,Basic Materials,Specialty Chemicals
KANSAINER,Kansai Nerolac Paints Limited,Basic Materials,Specialty Chemicals
KINGFA,Kingfa Science & Technology (India) Limited,Basic Materials,Specialty Chemicals
KIRIINDUS,Kiri Industries Limited,Basic Materials,Specialty Chemicals
KOTHARIPET,Kothari Petrochemicals Limited,Basic Materials,Specialty Chemicals
KRONOX,Kronox Lab Sciences Limited,Basic Materials,Specialty Chemicals
LXCHEM,Laxmi Organic Industries Limited,Basic Materials,Specialty Chemicals
LINDEINDIA,Linde India Limited,Basic Materials,Specialty Chemicals
MANALIPETC,Manali Petrochemicals Limited,Basic Materials,Specialty Chemicals
MANORG,Mangalam Organics Limited,Basic Materials,Specialty Chemicals
NOCIL,NOCIL Limited,Basic Materials,Specialty Chemicals
NEOGEN,Neogen Chemicals Limited,Basic Materials,Specialty Chemicals
ORIENTCER,ORIENT CERATECH LIMITED,Basic Materials,Specialty Chemicals
