Symbol,Company Name,Sector,Industry
ABB,ABB India Limited,Industrials,Specialty Industrial Machinery
AIAENG,AIA Engineering Limited,Industrials,Specialty Industrial Machinery
AARON,Aaron Industries Limited,Industrials,Specialty Industrial Machinery
ADOR,Ador Welding Limited,Industrials,Specialty Industrial Machinery
AFFORDABLE,Affordable Robotic & Automation Limited,Industrials,Specialty Industrial Machinery
ATAM,Atam Valves Limited,Industrials,Specialty Industrial Machinery
AZAD,Azad Engineering Limited,Industrials,Specialty Industrial Machinery
BHEL,Bharat Heavy Electricals Limited,Industrials,Specialty Industrial Machinery
CUMMINSIND,Cummins India Limited,Industrials,Specialty Industrial Machinery
DELTAMAGNT,Delta Manufacturing Limited,Industrials,Specialty Industrial Machinery
DIACABS,Diamond Power Infrastructure Limited,Industrials,Specialty Industrial Machinery
DIFFNKG,Diffusion Engineers Limited,Industrials,Specialty Industrial Machinery
DUCON,Ducon Infratechnologies Limited,Industrials,Specialty Industrial Machinery
ELECON,Elecon Engineering Company Limited,Industrials,Specialty Industrial Machinery
ELGIEQUIP,Elgi Equipments Limited,Industrials,Specialty Industrial Machinery
EKC,Everest Kanto Cylinder Limited,Industrials,Specialty Industrial Machinery
GVT&D,GE Vernova T&D India Limited,Industrials,Specialty Industrial Machinery
GMMPFAUDLR,GMM Pfaudler Limited,Industrials,Specialty Industrial Machinery
GALAPREC,Gala Precision Engineering Limited,Industrials,Specialty Industrial Machinery
GREAVESCOT,Greaves Cotton Limited,Industrials,Specialty Industrial Machinery
GUJAPOLLO,Gujarat Apollo Industries Limited,Industrials,Specialty Industrial Machinery
HLEGLAS,HLE Glascoat Limited,Industrials,Specialty Industrial Machinery
HERCULES,Hercules Hoists Limited,Industrials,Specialty Industrial Machinery
HONDAPOWER,Honda India Power Products Limited,Industrials,Specialty Industrial Machinery
INOXINDIA,INOX India Limited,Industrials,Specialty Industrial Machinery
ICEMAKE,Ice Make Refrigeration Limited,Industrials,Specialty Industrial Machinery
INGERRAND,Ingersoll Rand (India) Limited,Industrials,Specialty Industrial Machinery
INOXWIND,Inox Wind Limited,Industrials,Specialty Industrial Machinery
INTLCONV,International Conveyors Limited,Industrials,Specialty Industrial Machinery
ISGEC,Isgec Heavy Engineering Limited,Industrials,Specialty Industrial Machinery
JNKINDIA,JNK India Limited,Industrials,Specialty Industrial Machinery
JASH,Jash Engineering Limited,Industrials,Specialty Industrial Machinery
JYOTICNC,Jyoti CNC Automation Limited,Industrials,Specialty Industrial Machinery
JYOTISTRUC,Jyoti Structures Limited,Industrials,Specialty Industrial Machinery
KABRAEXTRU,Kabra Extrusion Technik Limited,Industrials,Specialty Industrial Machinery
KAYNES,Kaynes Technology India Limited,Industrials,Specialty Industrial Machinery
KIRLOSBROS,Kirloskar Brothers Limited,Industrials,Specialty Industrial Machinery
KECL,Kirloskar Electric Company Limited,Industrials,Specialty Industrial Machinery
KIRLOSENG,Kirloskar Oil Engines Limited,Industrials,Specialty Industrial Machinery
KIRLPNU,Kirloskar Pneumatic Company Limited,Industrials,Specialty Industrial Machinery
KSB,Ksb Limited,Industrials,Specialty Industrial Machinery
LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,Industrials,Specialty Industrial Machinery
LMW,LMW Limited,Industrials,Specialty Industrial Machinery
LATTEYS,Latteys Industries Limited,Industrials,Specialty Industrial Machinery
LOKESHMACH,Lokesh Machines Limited,Industrials,Specialty Industrial Machinery
MACPOWER,Macpower CNC Machines Limited,Industrials,Specialty Industrial Machinery
MAMATA,Mamata Machinery Limited,Industrials,Specialty Industrial Machinery
MANUGRAPH,Manugraph India Limited,Industrials,Specialty Industrial Machinery
MAZDA,Mazda Limited,Industrials,Specialty Industrial Machinery
MTARTECH,Mtar Technologies Limited,Industrials,Specialty Industrial Machinery
PENIND,Pennar Industries Limited,Industrials,Specialty Industrial Machinery
PIXTRANS,Pix Transmissions Limited,Industrials,Specialty Industrial Machinery
PREMIER,Premier Limited,Industrials,Specialty Industrial Machinery
PRITIKAUTO,Pritika Auto Industries Limited,Industrials,Specialty Industrial Machinery
RAJOOENG,Rajoo Engineers Limited,Industrials,Specialty Industrial Machinery
RAYMOND,Raymond Limited,Industrials,Specialty Industrial Machinery
ROTO,Roto Pumps Limited,Industrials,Specialty Industrial Machinery
SHAKTIPUMP,Shakti Pumps (India) Limited,Industrials,Specialty Industrial Machinery
SHANTIGEAR,Shanthi Gears Limited,Industrials,Specialty Industrial Machinery
SIEMENS,Siemens Limited,Industrials,Specialty Industrial Machinery
SOMICONVEY,Somi Conveyor Beltings Limited,Industrials,Specialty Industrial Machinery
SGLTL,Standard Glass Lining Technology Limited,Industrials,Specialty Industrial Machinery
SUZLON,Suzlon Energy Limited,Industrials,Specialty Industrial Machinery
TDPOWERSYS,TD Power Systems Limited,Industrials,Specialty Industrial Machinery
TRF,TRF Limited,Industrials,Specialty Industrial Machinery
TARAPUR,Tarapur Transformers Limited,Industrials,Specialty Industrial Machinery
TEGA,Tega Industries Limited,Industrials,Specialty Industrial Machinery
ANUP,The Anup Engineering Limited,Industrials,Specialty Industrial Machinery
THEJO,Thejo Engineering Limited,Industrials,Specialty Industrial Machinery
TRITURBINE,Triveni Turbine Limited,Industrials,Specialty Industrial Machinery
VESUVIUS,Vesuvius India Limited,Industrials,Specialty Industrial Machinery
WINDMACHIN,Windsor Machines Limited,Industrials,Specialty Industrial Machinery
YUKEN,Yuken India Limited,Industrials,Specialty Industrial Machinery
