Symbol,Company Name,Sector,Industry
APLAPOLLO,APL Apollo Tubes Limited,Basic Materials,Steel
AEROENTER,Aeroflex Enterprises Limited,Basic Materials,Steel
ANKITMETAL,Ankit Metal & Power Limited,Basic Materials,Steel
ASHOKAMET,Ashoka Metcast Limited,Basic Materials,Steel
BANSALWIRE,Bansal Wire Industries Limited,Basic Materials,Steel
BEDMUTHA,Bedmutha Industries Limited,Basic Materials,Steel
BHARATWIRE,Bharat Wire Ropes Limited,Basic Materials,Steel
ELECTHERM,Electrotherm (India) Limited,Basic Materials,Steel
GALLANTT,Gallantt Ispat Limited,Basic Materials,Steel
GPIL,Godawari Power And Ispat limited,Basic Materials,Steel
GOODLUCK,Goodluck India Limited,Basic Materials,Steel
HARIOMPIPE,Hariom Pipe Industries Limited,Basic Materials,Steel
HITECH,Hi-Tech Pipes Limited,Basic Materials,Steel
HISARMETAL,Hisar Metal Industries Limited,Basic Materials,Steel
INCREDIBLE,INCREDIBLE INDUSTRIES LIMITED,Basic Materials,Steel
JSWSTEEL,JSW Steel Limited,Basic Materials,Steel
JTLIND,JTL INDUSTRIES LIMITED,Basic Materials,Steel
JAIBALAJI,Jai Balaji Industries Limited,Basic Materials,Steel
JAYNECOIND,Jayaswal Neco Industries Limited,Basic Materials,Steel
JINDALSAW,Jindal Saw Limited,Basic Materials,Steel
JSL,Jindal Stainless Limited,Basic Materials,Steel
JINDALSTEL,Jindal Steel & Power Limited,Basic Materials,Steel
KIOCL,KIOCL Limited,Basic Materials,Steel
KSL,Kalyani Steels Limited,Basic Materials,Steel
KAMDHENU,Kamdhenu Limited,Basic Materials,Steel
KAMOPAINTS,Kamdhenu Ventures Limited,Basic Materials,Steel
KRIDHANINF,Kridhan Infra Limited,Basic Materials,Steel
KRITIKA,Kritika Wires Limited,Basic Materials,Steel
LLOYDSENT,Lloyds Enterprises Limited,Basic Materials,Steel
LLOYDSME,Lloyds Metals And Energy Limited,Basic Materials,Steel
MSPL,MSP Steel & Power Limited,Basic Materials,Steel
MAHASTEEL,Mahamaya Steel Industries Limited,Basic Materials,Steel
MAHSEAMLES,Maharashtra Seamless Limited,Basic Materials,Steel
MAITHANALL,Maithan Alloys Limited,Basic Materials,Steel
MANINDS,Man Industries (India) Limited,Basic Materials,Steel
MANAKSTEEL,Manaksia Steels Limited,Basic Materials,Steel
MIDHANI,Mishra Dhatu Nigam Limited,Basic Materials,Steel
MUKANDLTD,Mukand Limited,Basic Materials,Steel
NMDC,NMDC Limited,Basic Materials,Steel
NSLNISP,NMDC Steel Limited,Basic Materials,Steel
PRAKASH,Prakash Industries Limited,Basic Materials,Steel
PRAKASHSTL,Prakash Steelage Limited,Basic Materials,Steel
RAJRATAN,Rajratan Global Wire Limited,Basic Materials,Steel
RAMASTEEL,Rama Steel Tubes Limited,Basic Materials,Steel
RATNAMANI,Ratnamani Metals & Tubes Limited,Basic Materials,Steel
RATNAVEER,Ratnaveer Precision Engineering Limited,Basic Materials,Steel
SALSTEEL,S.A.L. Steel Limited,Basic Materials,Steel
STEELXIND,STEEL EXCHANGE INDIA LIMITED,Basic Materials,Steel
SALASAR,Salasar Techno Engineering Limited,Basic Materials,Steel
SAMBHV,Sambhv Steel Tubes Limited,Basic Materials,Steel
SANDUMA,Sandur Manganese & Iron Ores Limited,Basic Materials,Steel
SARDAEN,Sarda Energy & Minerals Limited,Basic Materials,Steel
SCODATUBES,Scoda Tubes Limited,Basic Materials,Steel
SHAHALLOYS,Shah Alloys Limited,Basic Materials,Steel
SHAH,Shah Metacorp Limited,Basic Materials,Steel
SHYAMCENT,Shyam Century Ferrous Limited,Basic Materials,Steel
SHYAMMETL,Shyam Metalics and Energy Limited,Basic Materials,Steel
SAIL,Steel Authority of India Limited,Basic Materials,Steel
STEELCAS,Steelcast Limited,Basic Materials,Steel
SUNFLAG,Sunflag Iron And Steel Company Limited,Basic Materials,Steel
SURAJLTD,Suraj Limited,Basic Materials,Steel
SURYAROSNI,Surya Roshni Limited,Basic Materials,Steel
TATASTEEL,Tata Steel Limited,Basic Materials,Steel
USHAMART,Usha Martin Limited,Basic Materials,Steel
VSSL,Vardhman Special Steels Limited,Basic Materials,Steel
VASWANI,Vaswani Industries Limited,Basic Materials,Steel
VENUSPIPES,Venus Pipes & Tubes Limited,Basic Materials,Steel
VSTL,Vibhor Steel Tubes Limited,Basic Materials,Steel
VISASTEEL,Visa Steel Limited,Basic Materials,Steel
VRAJ,Vraj Iron and Steel Limited,Basic Materials,Steel
WELCORP,Welspun Corp Limited,Basic Materials,Steel
ZENITHSTL,Zenith Steel Pipes & Industries Limited,Basic Materials,Steel
