Symbol,Company Name,Sector,Industry
BHARTIARTL,Bharti Airtel Limited,Communication Services,Telecom Services
BHARTIHEXA,Bharti Hexacom Limited,Communication Services,Telecom Services
GTL,GTL Limited,Communication Services,Telecom Services
INDUSTOWER,Indus Towers Limited,Communication Services,Telecom Services
MTNL,Mahanagar Telephone Nigam Limited,Communication Services,Telecom Services
ONMOBILE,OnMobile Global Limited,Communication Services,Telecom Services
ROUTE,ROUTE MOBILE LIMITED,Communication Services,Telecom Services
RAILTEL,Railtel Corporation Of India Limited,Communication Services,Telecom Services
RCOM,Reliance Communications Limited,Communication Services,Telecom Services
SUYOG,Suyog Telematics Limited,Communication Services,Telecom Services
TATACOMM,Tata Communications Limited,Communication Services,Telecom Services
TTML,Tata Teleservices (Maharashtra) Limited,Communication Services,Telecom Services
UNIINFO,Uniinfo Telecom Services Limited,Communication Services,Telecom Services
IDEA,Vodafone Idea Limited,Communication Services,Telecom Services
