Symbol,Company Name,Sector,Industry
AYMSYNTEX,AYM Syntex Limited,Consumer Cyclical,Textile Manufacturing
AARVEEDEN,Aarvee Denims & Exports Limited,Consumer Cyclical,Textile Manufacturing
AKSHAR,Akshar Spintex Limited,Consumer Cyclical,Textile Manufacturing
ALOKINDS,Alok Industries Limited,Consumer Cyclical,Textile Manufacturing
ALPSINDUS,Alps Industries Limited,Consumer Cyclical,Textile Manufacturing
AMBIKCO,Ambika Cotton Mills Limited,Consumer Cyclical,Textile Manufacturing
ARVIND,Arvind Limited,Consumer Cyclical,Textile Manufacturing
ASHIMASYN,Ashima Limited,Consumer Cyclical,Textile Manufacturing
AXITA,Axita Cotton Limited,Consumer Cyclical,Textile Manufacturing
BSL,BSL Limited,Consumer Cyclical,Textile Manufacturing
BASML,Bannari Amman Spinning Mills Limited,Consumer Cyclical,Textile Manufacturing
BANSWRAS,Banswara Syntex Limited,Consumer Cyclical,Textile Manufacturing
BELLACASA,Bella Casa Fashion & Retail Limited,Consumer Cyclical,Textile Manufacturing
BOMDYEING,Bombay Dyeing & Mfg Company Limited,Consumer Cyclical,Textile Manufacturing
BORANA,Borana Weaves Limited,Consumer Cyclical,Textile Manufacturing
CENTENKA,Century Enka Limited,Consumer Cyclical,Textile Manufacturing
CHEVIOT,Cheviot Company Limited,Consumer Cyclical,Textile Manufacturing
DCMNVL,DCM Nouvelle Limited,Consumer Cyclical,Textile Manufacturing
DAMODARIND,Damodar Industries Limited,Consumer Cyclical,Textile Manufacturing
DIGJAMLMTD,Digjam Limited,Consumer Cyclical,Textile Manufacturing
DONEAR,Donear Industries Limited,Consumer Cyclical,Textile Manufacturing
FAZE3Q,Faze Three Limited,Consumer Cyclical,Textile Manufacturing
FIBERWEB,Fiberweb (India) Limited,Consumer Cyclical,Textile Manufacturing
FILATEX,Filatex India Limited,Consumer Cyclical,Textile Manufacturing
FLEXITUFF,Flexituff Ventures International Limited,Consumer Cyclical,Textile Manufacturing
GHCLTEXTIL,GHCL Textiles Limited,Consumer Cyclical,Textile Manufacturing
GANECOS,Ganesha Ecosphere Limited,Consumer Cyclical,Textile Manufacturing
GARFIBRES,Garware Technical Fibres Limited,Consumer Cyclical,Textile Manufacturing
GINNIFILA,Ginni Filaments Limited,Consumer Cyclical,Textile Manufacturing
GLOBALE,Globale Tessile Limited,Consumer Cyclical,Textile Manufacturing
GLOBE,Globe Textiles (India) Limited,Consumer Cyclical,Textile Manufacturing
GLOSTERLTD,Gloster Limited,Consumer Cyclical,Textile Manufacturing
HIMATSEIDE,Himatsingka Seide Limited,Consumer Cyclical,Textile Manufacturing
INDIANCARD,Indian Card Clothing Company Limited,Consumer Cyclical,Textile Manufacturing
ICIL,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing
INDORAMA,Indo Rama Synthetics (India) Limited,Consumer Cyclical,Textile Manufacturing
JINDWORLD,Jindal Worldwide Limited,Consumer Cyclical,Textile Manufacturing
KPRMILL,K.P.R. Mill Limited,Consumer Cyclical,Textile Manufacturing
LAGNAM,Lagnam Spintex Limited,Consumer Cyclical,Textile Manufacturing
LAMBODHARA,Lambodhara Textiles Limited,Consumer Cyclical,Textile Manufacturing
LAXMICOT,Laxmi Cotspin Limited,Consumer Cyclical,Textile Manufacturing
LOYALTEX,Loyal Textile Mills Limited,Consumer Cyclical,Textile Manufacturing
MFML,Mahalaxmi Fabric Mills Limited,Consumer Cyclical,Textile Manufacturing
MHLXMIRU,Mahalaxmi Rubtech Limited,Consumer Cyclical,Textile Manufacturing
MANOMAY,Manomay Tex India Limited,Consumer Cyclical,Textile Manufacturing
MARALOVER,Maral Overseas Limited,Consumer Cyclical,Textile Manufacturing
MAYURUNIQ,Mayur Uniquoters Ltd,Consumer Cyclical,Textile Manufacturing
MITTAL,Mittal Life Style Limited,Consumer Cyclical,Textile Manufacturing
MODTHREAD,Modern Threads (India) Limited,Consumer Cyclical,Textile Manufacturing
MOHITIND,Mohit Industries Limited,Consumer Cyclical,Textile Manufacturing
MORARJEE,Morarjee Textiles Limited,Consumer Cyclical,Textile Manufacturing
NAGREEKEXP,Nagreeka Exports Limited,Consumer Cyclical,Textile Manufacturing
NAHARINDUS,Nahar Industrial Enterprises Limited,Consumer Cyclical,Textile Manufacturing
NAHARSPING,Nahar Spinning Mills Limited,Consumer Cyclical,Textile Manufacturing
NDL,Nandan Denim Limited,Consumer Cyclical,Textile Manufacturing
NITINSPIN,Nitin Spinners Limited,Consumer Cyclical,Textile Manufacturing
ORBTEXP,Orbit Exports Limited,Consumer Cyclical,Textile Manufacturing
PARASPETRO,Paras Petrofils Limited,Consumer Cyclical,Textile Manufacturing
PASHUPATI,Pashupati Cotspin Limited,Consumer Cyclical,Textile Manufacturing
PASUPTAC,Pasupati Acrylon Limited,Consumer Cyclical,Textile Manufacturing
PIONEEREMB,Pioneer Embroideries Limited,Consumer Cyclical,Textile Manufacturing
PRECOT,Precot Limited,Consumer Cyclical,Textile Manufacturing
RSWM,RSWM Limited,Consumer Cyclical,Textile Manufacturing
RAJRILTD,Raj Rayon Industries Limited,Consumer Cyclical,Textile Manufacturing
RELCHEMQ,Reliance Chemotex Industries Limited,Consumer Cyclical,Textile Manufacturing
SELMC,SEL Manufacturing Company Limited,Consumer Cyclical,Textile Manufacturing
SGL,STL Global Limited,Consumer Cyclical,Textile Manufacturing
SVPGLOB,SVP GLOBAL TEXTILES LIMITED,Consumer Cyclical,Textile Manufacturing
SALONA,Salona Cotspin Limited,Consumer Cyclical,Textile Manufacturing
SANATHAN,Sanathan Textiles Limited,Consumer Cyclical,Textile Manufacturing
SANGAMIND,Sangam (India) Limited,Consumer Cyclical,Textile Manufacturing
SARLAPOLY,Sarla Performance Fibers Limited,Consumer Cyclical,Textile Manufacturing
SHEKHAWATI,Shekhawati Industries Limited,Consumer Cyclical,Textile Manufacturing
SHIVAMILLS,Shiva Mills Limited,Consumer Cyclical,Textile Manufacturing
SHIVATEX,Shiva Texyarn Limited,Consumer Cyclical,Textile Manufacturing
SIYSIL,Siyaram Silk Mills Limited,Consumer Cyclical,Textile Manufacturing
SOMATEX,Soma Textiles & Industries Limited,Consumer Cyclical,Textile Manufacturing
SPORTKING,Sportking India Limited,Consumer Cyclical,Textile Manufacturing
SIL,Standard Industries Limited,Consumer Cyclical,Textile Manufacturing
SUMEETINDS,Sumeet Industries Limited,Consumer Cyclical,Textile Manufacturing
SUPERSPIN,Super Spinning Mills Limited,Consumer Cyclical,Textile Manufacturing
SURYALAXMI,Suryalakshmi Cotton Mills Limited,Consumer Cyclical,Textile Manufacturing
SUTLEJTEX,Sutlej Textiles and Industries Limited,Consumer Cyclical,Textile Manufacturing
TTL,T T Limited,Consumer Cyclical,Textile Manufacturing
RUBYMILLS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing
THOMASCOTT,Thomas Scott (India) Limited,Consumer Cyclical,Textile Manufacturing
TRIDENT,Trident Limited,Consumer Cyclical,Textile Manufacturing
UNITEDPOLY,United Polyfab Gujarat Limited,Consumer Cyclical,Textile Manufacturing
VARDHACRLC,Vardhman Acrylics Limited,Consumer Cyclical,Textile Manufacturing
VARDMNPOLY,Vardhman Polytex Limited,Consumer Cyclical,Textile Manufacturing
VTL,Vardhman Textiles Limited,Consumer Cyclical,Textile Manufacturing
VCL,Vaxtex Cotfab Limited,Consumer Cyclical,Textile Manufacturing
VINNY,Vinny Overseas Limited,Consumer Cyclical,Textile Manufacturing
VIVIDHA,Visagar Polytex Limited,Consumer Cyclical,Textile Manufacturing
WEIZMANIND,Weizmann Limited,Consumer Cyclical,Textile Manufacturing
WELSPUNLIV,Welspun Living Limited,Consumer Cyclical,Textile Manufacturing
WINSOME,Winsome Yarns Limited,Consumer Cyclical,Textile Manufacturing
ZENITHEXPO,Zenith Exports Limited,Consumer Cyclical,Textile Manufacturing
