Symbol,Company Name,Sector,Industry
ADANIENSOL,Adani Energy Solutions Limited,Utilities,Utilities - Independent Power Producers
ADANIPOWER,Adani Power Limited,Utilities,Utilities - Independent Power Producers
GVKPIL,GVK Power & Infrastructure Limited,Utilities,Utilities - Independent Power Producers
JSWENERGY,JSW Energy Limited,Utilities,Utilities - Independent Power Producers
JPPOWER,Jaiprakash Power Ventures Limited,Utilities,Utilities - Independent Power Producers
GREENPOWER,Orient Green Power Company Limited,Utilities,Utilities - Independent Power Producers
PTC,PTC India Limited,Utilities,Utilities - Independent Power Producers
RTNPOWER,RattanIndia Power Limited,Utilities,Utilities - Independent Power Producers
RELINFRA,Reliance Infrastructure Limited,Utilities,Utilities - Independent Power Producers
RPOWER,Reliance Power Limited,Utilities,Utilities - Independent Power Producers
SURANAT&P,Surana Telecom and Power Limited,Utilities,Utilities - Independent Power Producers
TATAPOWER,Tata Power Company Limited,Utilities,Utilities - Independent Power Producers
TORNTPOWER,Torrent Power Limited,Utilities,Utilities - Independent Power Producers
