Symbol,Company Name,Sector,Industry
ACMESOLAR,Acme Solar Holdings Limited,Utilities,Utilities - Renewable
ADANIGREEN,Adani Green Energy Limited,Utilities,Utilities - Renewable
INDOWIND,Indowind Energy Limited,Utilities,Utilities - Renewable
INOXGREEN,Inox Green Energy Services Limited,Utilities,Utilities - Renewable
KPIGREEN,KPI Green Energy Limited,Utilities,Utilities - Renewable
KARMAENG,Karma Energy Limited,Utilities,Utilities - Renewable
NHPC,NHPC Limited,Utilities,Utilities - Renewable
NTPCGREEN,NTPC Green Energy Limited,Utilities,Utilities - Renewable
SJVN,SJVN Limited,Utilities,Utilities - Renewable
ENRIN,Siemens Energy India Limited,Utilities,Utilities - Renewable
WAAREERTL,Waaree Renewable Technologies Limited,Utilities,Utilities - Renewable
