Symbol,Company Name,Sector,Industry
ASKAUTOLTD,ASK Automotive Limited,Consumer Cyclical,Auto Parts
APOLLOTYRE,Apollo Tyres Limited,Consumer Cyclical,Auto Parts
ASAHIINDIA,Asahi India Glass Limited,Consumer Cyclical,Auto Parts
AUTOIND,Autoline Industries Limited,Consumer Cyclical,Auto Parts
AUTOAXLES,Automotive Axles Limited,Consumer Cyclical,Auto Parts
ASAL,Automotive Stampings and Assemblies Limited,Consumer Cyclical,Auto Parts
BALKRISIND,Balkrishna Industries Limited,Consumer Cyclical,Auto Parts
BANCOINDIA,Banco Products (I) Limited,Consumer Cyclical,Auto Parts
BELRISE,Belrise Industries Limited,Consumer Cyclical,Auto Parts
BHARATFORG,Bharat Forge Limited,Consumer Cyclical,Auto Parts
BHARATGEAR,Bharat Gears Limited,Consumer Cyclical,Auto Parts
BHARATSE,Bharat Seats Limited,Consumer Cyclical,Auto Parts
BOSCHLTD,Bosch Limited,Consumer Cyclical,Auto Parts
CEATLTD,CEAT Limited,Consumer Cyclical,Auto Parts
CIEINDIA,CIE Automotive India Limited,Consumer Cyclical,Auto Parts
CARRARO,Carraro India Limited,Consumer Cyclical,Auto Parts
CRAFTSMAN,Craftsman Automation Limited,Consumer Cyclical,Auto Parts
DIVGIITTS,Divgi Torqtransfer Systems Limited,Consumer Cyclical,Auto Parts
DYNAMATECH,Dynamatic Technologies Limited,Consumer Cyclical,Auto Parts
ELGIRUBCO,Elgi Rubber Company Limited,Consumer Cyclical,Auto Parts
ENDURANCE,Endurance Technologies Limited,Consumer Cyclical,Auto Parts
EXIDEIND,Exide Industries Limited,Consumer Cyclical,Auto Parts
FMGOETZE,Federal-Mogul Goetze (India) Limited.,Consumer Cyclical,Auto Parts
FIEMIND,Fiem Industries Limited,Consumer Cyclical,Auto Parts
GNA,GNA Axles Limited,Consumer Cyclical,Auto Parts
GRPLTD,GRP Limited,Consumer Cyclical,Auto Parts
GABRIEL,Gabriel India Limited,Consumer Cyclical,Auto Parts
HINDCOMPOS,Hindustan Composites Limited,Consumer Cyclical,Auto Parts
IGARASHI,Igarashi Motors India Limited,Consumer Cyclical,Auto Parts
IMPAL,India Motor Parts and Accessories Limited,Consumer Cyclical,Auto Parts
INDNIPPON,India Nippon Electricals Limited,Consumer Cyclical,Auto Parts
JBMA,JBM Auto Limited,Consumer Cyclical,Auto Parts
JKTYRE,JK Tyre & Industries Limited,Consumer Cyclical,Auto Parts
JAMNAAUTO,Jamna Auto Industries Limited,Consumer Cyclical,Auto Parts
JAYBARMARU,Jay Bharat Maruti Limited,Consumer Cyclical,Auto Parts
JTEKTINDIA,Jtekt India Limited,Consumer Cyclical,Auto Parts
JMA,Jullundur Motor Agency (Delhi) Limited,Consumer Cyclical,Auto Parts
KALYANIFRG,Kalyani Forge Limited,Consumer Cyclical,Auto Parts
KROSS,Kross Limited,Consumer Cyclical,Auto Parts
LGBBROSLTD,LG Balakrishnan & Bros Limited,Consumer Cyclical,Auto Parts
LUMAXTECH,Lumax Auto Technologies Limited,Consumer Cyclical,Auto Parts
LUMAXIND,Lumax Industries Limited,Consumer Cyclical,Auto Parts
MRF,MRF Limited,Consumer Cyclical,Auto Parts
MAHSCOOTER,Maharashtra Scooters Limited,Consumer Cyclical,Auto Parts
MENONBE,Menon Bearings Limited,Consumer Cyclical,Auto Parts
MINDACORP,Minda Corporation Limited,Consumer Cyclical,Auto Parts
